datetime,OfflineCalcWL
7/15/2022 0:00,207.184
7/16/2022 0:00,168.252
7/17/2022 0:00,126.395
7/18/2022 0:00,98.881
7/19/2022 0:00,92.188
7/20/2022 0:00,137.413
7/21/2022 0:00,204.338
7/22/2022 0:00,230.178
7/23/2022 0:00,264.726
7/24/2022 0:00,215.283
7/25/2022 0:00,152.84
7/26/2022 0:00,110.676
7/27/2022 0:00,86.175
7/28/2022 0:00,77.361
7/29/2022 0:00,74.806
7/30/2022 0:00,77.526
7/31/2022 0:00,99.492
8/1/2022 0:00,109.419
8/2/2022 0:00,92.326
8/3/2022 0:00,92.64
8/4/2022 0:00,86.429
8/5/2022 0:00,67.357
8/6/2022 0:00,56.663
8/7/2022 0:00,74.888
8/8/2022 0:00,138.279
8/9/2022 0:00,152.714
8/10/2022 0:00,130.407
8/11/2022 0:00,209.701
8/12/2022 0:00,636.353
8/13/2022 0:00,410.159
8/14/2022 0:00,255.084
8/15/2022 0:00,207.087
8/16/2022 0:00,192.004
8/17/2022 0:00,186.298
8/18/2022 0:00,166.64
8/19/2022 0:00,125.286
8/20/2022 0:00,152.315
8/21/2022 0:00,461.053
8/22/2022 0:00,555.444
8/23/2022 0:00,376.665
8/24/2022 0:00,274.168
8/25/2022 0:00,302.262
8/26/2022 0:00,273.907
8/27/2022 0:00,254.945
8/28/2022 0:00,189.8
8/29/2022 0:00,140.833
8/30/2022 0:00,115.022
8/31/2022 0:00,100.634
9/1/2022 0:00,95.091
9/2/2022 0:00,86.648
9/3/2022 0:00,74.834
9/4/2022 0:00,73.66
9/5/2022 0:00,99.364
9/6/2022 0:00,185.181
9/7/2022 0:00,268.821
9/8/2022 0:00,190.22
9/9/2022 0:00,187.43
9/10/2022 0:00,233.346
9/11/2022 0:00,320.587
9/12/2022 0:00,327.595
9/13/2022 0:00,355.654
9/14/2022 0:00,270.695
9/15/2022 0:00,184.692
9/16/2022 0:00,146.433
9/17/2022 0:00,129.574
9/18/2022 0:00,123.172
9/19/2022 0:00,128.404
9/20/2022 0:00,120.853
9/21/2022 0:00,124.312
9/22/2022 0:00,140.317
9/23/2022 0:00,191.486
9/24/2022 0:00,224.524
9/25/2022 0:00,211.308
9/26/2022 0:00,243.164
9/27/2022 0:00,249.71
9/28/2022 0:00,184.719
9/29/2022 0:00,138.386
9/30/2022 0:00,184.312
10/1/2022 0:00,277.43
10/2/2022 0:00,298.951
10/3/2022 0:00,261.888
10/4/2022 0:00,241.443
10/5/2022 0:00,212.702
10/6/2022 0:00,203.431
10/7/2022 0:00,186.275
10/8/2022 0:00,147.535
10/9/2022 0:00,134.52
10/10/2022 0:00,161.154
10/11/2022 0:00,192.035
10/12/2022 0:00,165.87
10/13/2022 0:00,111.129
10/14/2022 0:00,86.588
