Datetime,Obs
202207150000,295.5
202207160000,208
202207170000,157.6
202207180000,126
202207190000,295.5
202207200000,193.6
202207210000,247
202207220000,248.3
202207230000,310.5
202207240000,234
202207250000,181.8
202207260000,145.5
202207270000,135
202207280000,120
202207290000,111
202207300000,106
202207310000,145.5
202208010000,107
202208020000,106
202208030000,109
202208040000,134
202208050000,110
202208060000,146.6
202208070000,151
202208080000,469.8
202208090000,276.8
202208100000,193.9
202208110000,298.5
202208120000,1307
202208130000,1123.2
202208140000,584.5
202208150000,392.8
202208160000,318.5
202208170000,249
202208180000,212
202208190000,180.45
202208200000,168.6
202208210000,540.2
202208220000,560
202208230000,321.5
202208240000,295.25
202208250000,260.7
202208260000,293.9
202208270000,279.05
202208280000,218
202208290000,186.2
202208300000,161.25
202208310000,152
202209010000,142
202209020000,136
202209030000,125
202209040000,129
202209050000,244
202209060000,188.5
202209070000,156
202209080000,136
202209090000,137
202209100000,169.65
202209110000,232.75
202209120000,246.5
202209130000,299.3
202209140000,220.4
202209150000,225.25
202209160000,212
202209170000,209
202209180000,200
202209190000,166.5
202209200000,195.4
202209210000,177
202209220000,179.3
202209230000,224
202209240000,224
202209250000,177
202209260000,280.4
202209270000,212
202209280000,172.8
202209290000,153
202209300000,142
202210010000,259.4
202210020000,271.1
202210030000,226.5
202210040000,194.25
202210050000,166.5
202210060000,180.45
202210070000,179.3
202210080000,161.25
202210090000,171.75
202210100000,245.25
202210110000,190.8
202210120000,161.25
202210130000,146
202210140000,134
