Datetime,Obs
202207150000,2.65
202207160000,2
202207170000,1.56
202207180000,1.26
202207190000,2.65
202207200000,1.88
202207210000,2.3
202207220000,2.31
202207230000,2.75
202207240000,2.2
202207250000,1.78
202207260000,1.45
202207270000,1.35
202207280000,1.2
202207290000,1.11
202207300000,1.06
202207310000,1.45
202208010000,1.07
202208020000,1.06
202208030000,1.09
202208040000,1.34
202208050000,1.1
202208060000,1.46
202208070000,1.5
202208080000,3.74
202208090000,2.52
202208100000,2.88
202208110000,2.67
202208120000,7.58
202208130000,6.83
202208140000,4.35
202208150000,3.28
202208160000,2.91
202208170000,2.4
202208180000,2.1
202208190000,1.83
202208200000,1.72
202208210000,4.29
202208220000,4.4
202208230000,2.93
202208240000,2.75
202208250000,2.49
202208260000,2.74
202208270000,2.63
202208280000,2.15
202208290000,1.88
202208300000,1.65
202208310000,1.56
202209010000,1.46
202209020000,1.4
202209030000,1.29
202209040000,1.33
202209050000,2.36
202209060000,1.9
202209070000,1.6
202209080000,1.4
202209090000,1.41
202209100000,1.73
202209110000,2.27
202209120000,2.38
202209130000,2.78
202209140000,2.17
202209150000,2.21
202209160000,2.1
202209170000,0
202209180000,2
202209190000,1.7
202209200000,1.96
202209210000,1.8
202209220000,1.82
202209230000,2.2
202209240000,2.2
202209250000,1.8
202209260000,2.64
202209270000,2.1
202209280000,1.76
202209290000,1.57
202209300000,1.46
202210010000,2.48
202210020000,2.57
202210030000,2.22
202210040000,1.95
202210050000,1.7
202210060000,1.83
202210070000,1.82
202210080000,1.65
202210090000,1.75
202210100000,2.37
202210110000,1.92
202210120000,1.65
202210130000,1.5
202210140000,1.38
