  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
         0                         0.348
      1800                         0.131
      3600                         0.131
      5400                         0.131
      7200                         0.131
      9000                         0.131
     10800                         0.131
     12600                         0.131
     14400                         0.131
     16200                         0.131
     18000                         0.131
     19800                         0.131
     21600                         0.131
     23400                         0.131
     25200                         0.131
     27000                         0.131
     28800                         0.131
     30600                         0.131
     32400                         0.131
     34200                         0.131
     36000                         0.131
     37800                         0.131
     39600                         0.131
     41400                         0.131
     43200                         0.131
     45000                         0.131
     46800                         0.131
     48600                         0.131
     50400                         0.131
     52200                         0.131
     54000                         0.131
     55800                         0.131
     57600                         0.131
     59400                         0.131
     61200                         0.131
     63000                         0.131
     64800                         0.131
     66600                         0.131
     68400                         0.131
     70200                         0.131
     72000                         0.131
     73800                         0.131
     75600                         0.131
     77400                         0.131
     79200                         0.131
     81000                         0.131
     82800                         0.131
     84600                         0.131
     86400                         0.131
     88200                         0.538
     90000                         0.538
     91800                         0.538
     93600                         0.538
     95400                         0.538
     97200                         0.538
     99000                         0.538
    100800                         0.538
    102600                         0.538
    104400                         0.538
    106200                         0.538
    108000                         0.538
    109800                         0.538
    111600                         0.538
    113400                         0.538
    115200                         0.538
    117000                         0.538
    118800                         0.538
    120600                         0.538
    122400                         0.538
    124200                         0.538
    126000                         0.538
    127800                         0.538
    129600                         0.538
    131400                         0.538
    133200                         0.538
    135000                         0.538
    136800                         0.538
    138600                         0.538
    140400                         0.538
    142200                         0.538
    144000                         0.538
    145800                         0.538
    147600                         0.538
    149400                         0.538
    151200                         0.538
    153000                         0.538
    154800                         0.538
    156600                         0.538
    158400                         0.538
    160200                         0.538
    162000                         0.538
    163800                         0.538
    165600                         0.538
    167400                         0.538
    169200                         0.538
    171000                         0.538
    172800                         0.538
    174600                         0.351
    176400                         0.351
    178200                         0.351
    180000                         0.351
    181800                         0.351
    183600                         0.351
    185400                         0.351
    187200                         0.351
    189000                         0.351
    190800                         0.351
    192600                         0.351
    194400                         0.351
    196200                         0.351
    198000                         0.351
    199800                         0.351
    201600                         0.351
    203400                         0.351
    205200                         0.351
    207000                         0.351
    208800                         0.351
    210600                         0.351
    212400                         0.351
    214200                         0.351
    216000                         0.351
    217800                         0.351
    219600                         0.351
    221400                         0.351
    223200                         0.351
    225000                         0.351
    226800                         0.351
    228600                         0.351
    230400                         0.351
    232200                         0.351
    234000                         0.351
    235800                         0.351
    237600                         0.351
    239400                         0.351
    241200                         0.351
    243000                         0.351
    244800                         0.351
    246600                         0.351
    248400                         0.351
    250200                         0.351
    252000                         0.351
    253800                         0.351
    255600                         0.351
    257400                         0.351
    259200                         0.351
    261000                         0.661
    262800                         0.661
    264600                         0.661
    266400                         0.661
    268200                         0.661
    270000                         0.661
    271800                         0.661
    273600                         0.661
    275400                         0.661
    277200                         0.661
    279000                         0.661
    280800                         0.661
    282600                         0.661
    284400                         0.661
    286200                         0.661
    288000                         0.661
    289800                         0.661
    291600                         0.661
    293400                         0.661
    295200                         0.661
    297000                         0.661
    298800                         0.661
    300600                         0.661
    302400                         0.661
    304200                         0.661
    306000                         0.661
    307800                         0.661
    309600                         0.661
    311400                         0.661
    313200                         0.661
    315000                         0.661
    316800                         0.661
    318600                         0.661
    320400                         0.661
    322200                         0.661
    324000                         0.661
    325800                         0.661
    327600                         0.661
    329400                         0.661
    331200                         0.661
    333000                         0.661
    334800                         0.661
    336600                         0.661
    338400                         0.661
    340200                         0.661
    342000                         0.661
    343800                         0.661
    345600                         0.661
    347400                         0.752
    349200                         0.752
    351000                         0.752
    352800                         0.752
    354600                         0.752
    356400                         0.752
    358200                         0.752
    360000                         0.752
    361800                         0.752
    363600                         0.752
    365400                         0.752
    367200                         0.752
    369000                         0.752
    370800                         0.752
    372600                         0.752
    374400                         0.752
    376200                         0.752
    378000                         0.752
    379800                         0.752
    381600                         0.752
    383400                         0.752
    385200                         0.752
    387000                         0.752
    388800                         0.752
    390600                         0.752
    392400                         0.752
    394200                         0.752
    396000                         0.752
    397800                         0.752
    399600                         0.752
    401400                         0.752
    403200                         0.752
    405000                         0.752
    406800                         0.752
    408600                         0.752
    410400                         0.752
    412200                         0.752
    414000                         0.752
    415800                         0.752
    417600                         0.752
    419400                         0.752
    421200                         0.752
    423000                         0.752
    424800                         0.752
    426600                         0.752
    428400                         0.752
    430200                         0.752
    432000                         0.752
    433800                         0.529
    435600                         0.529
    437400                         0.529
    439200                         0.529
    441000                         0.529
    442800                         0.529
    444600                         0.529
    446400                         0.529
    448200                         0.529
    450000                         0.529
    451800                         0.529
    453600                         0.529
    455400                         0.529
    457200                         0.529
    459000                         0.529
    460800                         0.529
    462600                         0.529
    464400                         0.529
    466200                         0.529
    468000                         0.529
    469800                         0.529
    471600                         0.529
    473400                         0.529
    475200                         0.529
    477000                         0.529
    478800                         0.529
    480600                         0.529
    482400                         0.529
    484200                         0.529
    486000                         0.529
    487800                         0.529
    489600                         0.529
    491400                         0.529
    493200                         0.529
    495000                         0.529
    496800                         0.529
    498600                         0.529
    500400                         0.529
    502200                         0.529
    504000                         0.529
    505800                         0.529
    507600                         0.529
