Datetime,P00003
202207230010,261.76789
202207230020,261.97676
202207230030,262.18753
202207230040,262.40125
202207230050,262.6181
202207230100,262.83813
202207230110,263.06127
202207230120,263.28743
202207230130,263.51647
202207230140,263.74826
202207230150,263.98263
202207230200,264.21942
202207230210,264.4585
202207230220,264.69971
202207230230,264.94294
202207230240,265.18806
202207230250,265.43497
202207230300,265.68357
202207230310,265.93378
202207230320,266.18552
202207230330,266.43872
202207230340,266.69332
202207230350,266.94925
202207230400,267.20646
202207230410,267.4649
202207230420,267.7245
202207230430,267.98521
202207230440,268.24697
202207230450,268.50973
202207230500,268.77342
202207230510,269.03798
202207230520,269.30333
202207230530,269.56941
202207230540,269.83614
202207230550,270.10345
202207230600,270.37124
202207230610,270.63944
202207230620,270.90795
202207230630,271.17668
202207230640,271.44553
202207230650,271.7144
202207230700,271.98319
202207230710,272.25178
202207230720,272.52006
202207230730,272.78791
202207230740,273.0552
202207230750,273.3218
202207230800,273.58757
202207230810,273.85233
202207230820,274.11589
202207230830,274.37804
202207230840,274.6385
202207230850,274.89697
202207230900,275.15313
202207230910,275.40663
202207230920,275.65712
202207230930,275.90428
202207230940,276.14781
202207230950,276.38742
202207231000,276.62286
202207231010,276.85393
202207231020,277.08043
202207231030,277.30219
202207231040,277.51906
202207231050,277.73088
202207231100,277.93751
202207231110,278.1388
202207231120,278.33462
202207231130,278.52478
202207231140,278.70914
202207231150,278.88752
202207231200,279.05971
202207231210,279.22554
202207231220,279.38478
202207231230,279.53723
202207231240,279.68266
202207231250,279.82085
202207231300,279.95156
202207231310,280.07457
202207231320,280.18964
202207231330,280.29655
202207231340,280.39508
202207231350,280.485
202207231400,280.5661
202207231410,280.63817
202207231420,280.70103
202207231430,280.75449
202207231440,280.79836
202207231450,280.8325
202207231500,280.85674
202207231510,280.87096
202207231520,280.87503
202207231530,280.86883
202207231540,280.85227
202207231550,280.82527
202207231600,280.78776
202207231610,280.73969
202207231620,280.68101
202207231630,280.6117
202207231640,280.53175
202207231650,280.44116
202207231700,280.33994
202207231710,280.22812
202207231720,280.10574
202207231730,279.97285
202207231740,279.82952
202207231750,279.67582
202207231800,279.51184
202207231810,279.33768
202207231820,279.15344
202207231830,278.95924
202207231840,278.75521
202207231850,278.54147
202207231900,278.31818
202207231910,278.08548
202207231920,277.84353
202207231930,277.59249
202207231940,277.33253
202207231950,277.06382
202207232000,276.78655
202207232010,276.5009
202207232020,276.20704
202207232030,275.90518
202207232040,275.59551
202207232050,275.27822
202207232100,274.95351
202207232110,274.62157
202207232120,274.28262
202207232130,273.93684
202207232140,273.58444
202207232150,273.22562
202207232200,272.86058
202207232210,272.48952
202207232220,272.11263
202207232230,271.73012
202207232240,271.34217
202207232250,270.94899
202207232300,270.55076
202207232310,270.14766
202207232320,269.73989
202207232330,269.32764
202207232340,268.91106
202207232350,268.49036
202207240000,268.06569
202207240010,267.63724
202207240020,267.20686
202207240030,266.77481
202207240040,266.34116
202207240050,265.90597
202207240100,265.46929
202207240110,265.0312
202207240120,264.59186
202207240130,264.15144
202207240140,263.71014
202207240150,263.26821
202207240200,262.82585
202207240210,262.3833
202207240220,261.94077
202207240230,261.49847
202207240240,261.05658
202207240250,260.61526
202207240300,260.17466
202207240310,259.73491
202207240320,259.2961
202207240330,258.85832
202207240340,258.42162
202207240350,257.98603
202207240400,257.55159
202207240410,257.11828
202207240420,256.6861
202207240430,256.25503
202207240440,255.82504
202207240450,255.39607
202207240500,254.9681
202207240510,254.54106
202207240520,254.11491
202207240530,253.68957
202207240540,253.26499
202207240550,252.84112
202207240600,252.41787
202207240610,251.99521
202207240620,251.57305
202207240630,251.15134
202207240640,250.73001
202207240650,250.30902
202207240700,249.88829
202207240710,249.46778
202207240720,249.04742
202207240730,248.62718
202207240740,248.20701
202207240750,247.78685
202207240800,247.36668
202207240810,246.94645
202207240820,246.52614
202207240830,246.10572
202207240840,245.68518
202207240850,245.26449
202207240900,244.84365
202207240910,244.42266
202207240920,244.00152
202207240930,243.58024
202207240940,243.15881
202207240950,242.73724
202207241000,242.31554
202207241010,241.89371
202207241020,241.47175
202207241030,241.04966
202207241040,240.62744
202207241050,240.2051
202207241100,239.78262
202207241110,239.36002
202207241120,238.93728
202207241130,238.5144
202207241140,238.09139
202207241150,237.66825
202207241200,237.24497
202207241210,236.82156
202207241220,236.39802
202207241230,235.97436
202207241240,235.55057
202207241250,235.12667
202207241300,234.70267
202207241310,234.27856
202207241320,233.85437
202207241330,233.4301
202207241340,233.00575
202207241350,232.58135
202207241400,232.1569
202207241410,231.73242
202207241420,231.30791
202207241430,230.8834
202207241440,230.4589
202207241450,230.03441
202207241500,229.60996
202207241510,229.18556
202207241520,228.76123
202207241530,228.33698
202207241540,227.91283
202207241550,227.4888
202207241600,227.0649
202207241610,226.64115
202207241620,226.21756
202207241630,225.79417
202207241640,225.37097
202207241650,224.948
202207241700,224.52526
202207241710,224.10278
202207241720,223.68057
202207241730,223.25865
202207241740,222.83705
202207241750,222.41577
202207241800,221.99484
202207241810,221.57427
202207241820,221.15408
202207241830,220.7343
202207241840,220.31493
202207241850,219.896
202207241900,219.47752
202207241910,219.05952
202207241920,218.642
202207241930,218.22499
202207241940,217.80852
202207241950,217.39259
202207242000,216.97724
202207242010,216.56248
202207242020,216.14833
202207242030,215.73482
202207242040,215.32198
202207242050,214.90981
202207242100,214.49835
202207242110,214.08761
202207242120,213.6776
202207242130,213.26835
202207242140,212.85987
202207242150,212.45217
202207242200,212.04527
202207242210,211.63918
202207242220,211.23391
202207242230,210.82948
202207242240,210.42589
202207242250,210.02315
202207242300,209.62128
202207242310,209.2203
202207242320,208.8202
202207242330,208.42101
202207242340,208.02274
202207242350,207.6254
202207250000,207.229
202207250010,206.83357
202207250020,206.43529
202207250030,206.03403
202207250040,205.62993
202207250050,205.22332
202207250100,204.81452
202207250110,204.40381
202207250120,203.9914
202207250130,203.57742
202207250140,203.16198
202207250150,202.74512
202207250200,202.32687
202207250210,201.90725
202207250220,201.48628
202207250230,201.06399
202207250240,200.64039
202207250250,200.21555
202207250300,199.7895
202207250310,199.36233
202207250320,198.9341
202207250330,198.50491
202207250340,198.07483
202207250350,197.64398
202207250400,197.21244
202207250410,196.78033
202207250420,196.34774
202207250430,195.91478
202207250440,195.48154
202207250450,195.04812
202207250500,194.61463
202207250510,194.18114
202207250520,193.74776
202207250530,193.31456
202207250540,192.88163
202207250550,192.44906
202207250600,192.01691
202207250610,191.58526
202207250620,191.15419
202207250630,190.72376
202207250640,190.29404
202207250650,189.86511
202207250700,189.43701
202207250710,189.00982
202207250720,188.5836
202207250730,188.15842
202207250740,187.73432
202207250750,187.31137
202207250800,186.88962
202207250810,186.46914
202207250820,186.04997
202207250830,185.63218
202207250840,185.2158
202207250850,184.80089
202207250900,184.3875
202207250910,183.97567
202207250920,183.56544
202207250930,183.15686
202207250940,182.74995
202207250950,182.34475
202207251000,181.9413
202207251010,181.53961
202207251020,181.13971
202207251030,180.74163
202207251040,180.34537
202207251050,179.95095
202207251100,179.55839
202207251110,179.16768
202207251120,178.77883
202207251130,178.39184
202207251140,178.0067
202207251150,177.62342
202207251200,177.24197
202207251210,176.86235
202207251220,176.48455
202207251230,176.10854
202207251240,175.7343
202207251250,175.36182
202207251300,174.99106
202207251310,174.62201
202207251320,174.25464
202207251330,173.88891
202207251340,173.5248
202207251350,173.16228
202207251400,172.80131
202207251410,172.44186
202207251420,172.08389
202207251430,171.72739
202207251440,171.37229
202207251450,171.01859
202207251500,170.66623
202207251510,170.31519
202207251520,169.96544
202207251530,169.61693
202207251540,169.26963
202207251550,168.92352
202207251600,168.57856
202207251610,168.23472
202207251620,167.89197
202207251630,167.55028
202207251640,167.20962
202207251650,166.86996
202207251700,166.53129
202207251710,166.19356
202207251720,165.85677
202207251730,165.52088
202207251740,165.18588
202207251750,164.85174
202207251800,164.51845
202207251810,164.18598
202207251820,163.85433
202207251830,163.52348
202207251840,163.19341
202207251850,162.86411
202207251900,162.53557
202207251910,162.20777
202207251920,161.88072
202207251930,161.5544
202207251940,161.22881
202207251950,160.90394
202207252000,160.57979
202207252010,160.25635
202207252020,159.93362
202207252030,159.6116
202207252040,159.29029
202207252050,158.9697
202207252100,158.64981
202207252110,158.33064
202207252120,158.01219
202207252130,157.69447
202207252140,157.37747
202207252150,157.0612
202207252200,156.74567
202207252210,156.43089
202207252220,156.11686
202207252230,155.80359
202207252240,155.49109
202207252250,155.17936
202207252300,154.86843
202207252310,154.55829
202207252320,154.24895
202207252330,153.94043
202207252340,153.63274
202207252350,153.32589
202207260000,153.01988
202207260010,152.71474
202207260020,152.4069
202207260030,152.09632
202207260040,151.78314
202207260050,151.46764
202207260100,151.15015
202207260110,150.83096
202207260120,150.51034
202207260130,150.18851
202207260140,149.86566
202207260150,149.54195
202207260200,149.21751
202207260210,148.89248
202207260220,148.56695
202207260230,148.24103
202207260240,147.9148
202207260250,147.58836
202207260300,147.2618
202207260310,146.93522
202207260320,146.6087
202207260330,146.28235
202207260340,145.95626
202207260350,145.63051
202207260400,145.30519
202207260410,144.98036
202207260420,144.6561
202207260430,144.3325
202207260440,144.00962
202207260450,143.68749
202207260500,143.36613
202207260510,143.04556
202207260520,142.7258
202207260530,142.40688
202207260540,142.08883
202207260550,141.77167
202207260600,141.4554
202207260610,141.14004
202207260620,140.8256
202207260630,140.51207
202207260640,140.19948
202207260650,139.8878
202207260700,139.57706
202207260710,139.26726
202207260720,138.95839
202207260730,138.65048
202207260740,138.34351
202207260750,138.0375
202207260800,137.73246
202207260810,137.42841
202207260820,137.12534
202207260830,136.82329
202207260840,136.52227
202207260850,136.22229
202207260900,135.92336
202207260910,135.62549
202207260920,135.3287
202207260930,135.03301
202207260940,134.73842
202207260950,134.44497
202207261000,134.15266
202207261010,133.86153
202207261020,133.57158
202207261030,133.28284
202207261040,132.99534
202207261050,132.70909
202207261100,132.42414
202207261110,132.14047
202207261120,131.85808
202207261130,131.577
202207261140,131.29722
202207261150,131.01878
202207261200,130.74166
202207261210,130.4659
202207261220,130.19149
202207261230,129.91845
202207261240,129.64678
202207261250,129.37649
202207261300,129.10759
202207261310,128.84007
202207261320,128.57395
202207261330,128.30921
202207261340,128.04588
202207261350,127.78394
202207261400,127.52339
202207261410,127.26424
202207261420,127.00648
202207261430,126.75012
202207261440,126.49512
202207261450,126.24149
202207261500,125.98919
202207261510,125.73823
202207261520,125.48857
202207261530,125.24022
202207261540,124.99315
202207261550,124.74734
202207261600,124.5028
202207261610,124.25949
202207261620,124.0174
202207261630,123.77652
202207261640,123.53683
202207261650,123.29831
202207261700,123.06094
202207261710,122.82471
202207261720,122.58958
202207261730,122.35556
202207261740,122.12261
202207261750,121.89071
202207261800,121.65985
202207261810,121.43001
202207261820,121.20117
202207261830,120.9733
202207261840,120.74638
202207261850,120.5204
202207261900,120.29534
202207261910,120.07117
202207261920,119.84787
202207261930,119.62543
202207261940,119.40383
202207261950,119.18303
202207262000,118.96304
202207262010,118.74382
202207262020,118.52535
202207262030,118.30762
202207262040,118.09061
202207262050,117.87431
202207262100,117.65868
202207262110,117.44371
202207262120,117.2294
202207262130,117.01571
202207262140,116.80264
202207262150,116.59016
202207262200,116.37825
202207262210,116.16692
202207262220,115.95613
202207262230,115.74587
202207262240,115.53614
202207262250,115.3269
202207262300,115.11816
202207262310,114.9099
202207262320,114.70209
202207262330,114.49474
202207262340,114.28783
202207262350,114.08135
202207270000,113.87528
202207270010,113.66962
202207270020,113.46442
202207270030,113.25973
202207270040,113.0556
202207270050,112.85206
202207270100,112.64916
202207270110,112.44694
202207270120,112.24546
202207270130,112.04475
202207270140,111.84485
202207270150,111.64579
202207270200,111.44761
202207270210,111.25031
202207270220,111.05392
202207270230,110.85844
202207270240,110.66388
202207270250,110.47023
202207270300,110.27749
202207270310,110.08566
202207270320,109.89472
202207270330,109.70466
202207270340,109.51549
202207270350,109.32717
202207270400,109.13971
202207270410,108.95309
202207270420,108.76729
202207270430,108.58232
202207270440,108.39815
202207270450,108.21477
202207270500,108.03218
202207270510,107.85036
202207270520,107.66931
202207270530,107.48901
202207270540,107.30946
202207270550,107.13064
202207270600,106.95257
202207270610,106.77521
202207270620,106.59857
202207270630,106.42265
202207270640,106.24743
