Datetime,P00001
202208040000,0.355
202208040030,0.393
202208040100,0.393
202208040130,0.393
202208040200,0.393
202208040230,0.393
202208040300,0.393
202208040330,0.393
202208040400,0.393
202208040430,0.393
202208040500,0.393
202208040530,0.393
202208040600,0.393
202208040630,0.393
202208040700,0.393
202208040730,0.393
202208040800,0.393
202208040830,0.393
202208040900,0.393
202208040930,0.393
202208041000,0.393
202208041030,0.393
202208041100,0.393
202208041130,0.393
202208041200,0.393
202208041230,0.393
202208041300,0.393
202208041330,0.393
202208041400,0.393
202208041430,0.393
202208041500,0.393
202208041530,0.393
202208041600,0.393
202208041630,0.393
202208041700,0.393
202208041730,0.393
202208041800,0.393
202208041830,0.393
202208041900,0.393
202208041930,0.393
202208042000,0.393
202208042030,0.393
202208042100,0.393
202208042130,0.393
202208042200,0.393
202208042230,0.393
202208042300,0.393
202208042330,0.393
202208050000,0.393
202208050030,0.363
202208050100,0.363
202208050130,0.363
202208050200,0.363
202208050230,0.363
202208050300,0.363
202208050330,0.363
202208050400,0.363
202208050430,0.363
202208050500,0.363
202208050530,0.363
202208050600,0.363
202208050630,0.363
202208050700,0.363
202208050730,0.363
202208050800,0.363
202208050830,0.363
202208050900,0.363
202208050930,0.363
202208051000,0.363
202208051030,0.363
202208051100,0.363
202208051130,0.363
202208051200,0.363
202208051230,0.363
202208051300,0.363
202208051330,0.363
202208051400,0.363
202208051430,0.363
202208051500,0.363
202208051530,0.363
202208051600,0.363
202208051630,0.363
202208051700,0.363
202208051730,0.363
202208051800,0.363
202208051830,0.363
202208051900,0.363
202208051930,0.363
202208052000,0.363
202208052030,0.363
202208052100,0.363
202208052130,0.363
202208052200,0.363
202208052230,0.363
202208052300,0.363
202208052330,0.363
202208060000,0.363
202208060030,0.326
202208060100,0.326
202208060130,0.326
202208060200,0.326
202208060230,0.326
202208060300,0.326
202208060330,0.326
202208060400,0.326
202208060430,0.326
202208060500,0.326
202208060530,0.326
202208060600,0.326
202208060630,0.326
202208060700,0.326
202208060730,0.326
202208060800,0.326
202208060830,0.326
202208060900,0.326
202208060930,0.326
202208061000,0.326
202208061030,0.326
202208061100,0.326
202208061130,0.326
202208061200,0.326
202208061230,0.326
202208061300,0.326
202208061330,0.326
202208061400,0.326
202208061430,0.326
202208061500,0.326
202208061530,0.326
202208061600,0.326
202208061630,0.326
202208061700,0.326
202208061730,0.326
202208061800,0.326
202208061830,0.326
202208061900,0.326
202208061930,0.326
202208062000,0.326
202208062030,0.326
202208062100,0.326
202208062130,0.326
202208062200,0.326
202208062230,0.326
202208062300,0.326
202208062330,0.326
202208070000,0.326
202208070030,2.812
202208070100,2.812
202208070130,2.812
202208070200,2.812
202208070230,2.812
202208070300,2.812
202208070330,2.812
202208070400,2.812
202208070430,2.812
202208070500,2.812
202208070530,2.812
202208070600,2.812
202208070630,2.812
202208070700,2.812
202208070730,2.812
202208070800,2.812
202208070830,2.812
202208070900,2.812
202208070930,2.812
202208071000,2.812
202208071030,2.812
202208071100,2.812
202208071130,2.812
202208071200,2.812
202208071230,2.812
202208071300,2.812
202208071330,2.812
202208071400,2.812
202208071430,2.812
202208071500,2.812
202208071530,2.812
202208071600,2.812
202208071630,2.812
202208071700,2.812
202208071730,2.812
202208071800,2.812
202208071830,2.812
202208071900,2.812
202208071930,2.812
202208072000,2.812
202208072030,2.812
202208072100,2.812
202208072130,2.812
202208072200,2.812
202208072230,2.812
202208072300,2.812
202208072330,2.812
202208080000,2.812
202208080030,0.961
202208080100,0.961
202208080130,0.961
202208080200,0.961
202208080230,0.961
202208080300,0.961
202208080330,0.961
202208080400,0.961
202208080430,0.961
202208080500,0.961
202208080530,0.961
202208080600,0.961
202208080630,0.961
202208080700,0.961
202208080730,0.961
202208080800,0.961
202208080830,0.961
202208080900,0.961
202208080930,0.961
202208081000,0.961
202208081030,0.961
202208081100,0.961
202208081130,0.961
202208081200,0.961
202208081230,0.961
202208081300,0.961
202208081330,0.961
202208081400,0.961
202208081430,0.961
202208081500,0.961
202208081530,0.961
202208081600,0.961
202208081630,0.961
202208081700,0.961
202208081730,0.961
202208081800,0.961
202208081830,0.961
202208081900,0.961
202208081930,0.961
202208082000,0.961
202208082030,0.961
202208082100,0.961
202208082130,0.961
202208082200,0.961
202208082230,0.961
202208082300,0.961
202208082330,0.961
202208090000,0.961
202208090030,1.02
202208090100,1.02
202208090130,1.02
202208090200,1.02
202208090230,1.02
202208090300,1.02
202208090330,1.02
202208090400,1.02
202208090430,1.02
202208090500,1.02
202208090530,1.02
202208090600,1.02
202208090630,1.02
202208090700,1.02
202208090730,1.02
202208090800,1.02
202208090830,1.02
202208090900,1.02
202208090930,1.02
202208091000,1.02
202208091030,1.02
202208091100,1.02
202208091130,1.02
202208091200,1.02
202208091230,1.02
202208091300,1.02
202208091330,1.02
202208091400,1.02
202208091430,1.02
202208091500,1.02
202208091530,1.02
202208091600,1.02
202208091630,1.02
202208091700,1.02
202208091730,1.02
202208091800,1.02
202208091830,1.02
202208091900,1.02
202208091930,1.02
202208092000,1.02
202208092030,1.02
202208092100,1.02
202208092130,1.02
202208092200,1.02
202208092230,1.02
202208092300,1.02
202208092330,1.02
202208100000,1.02
202208100030,0.501
202208100100,0.501
202208100130,0.501
202208100200,0.501
202208100230,0.501
202208100300,0.501
202208100330,0.501
202208100400,0.501
202208100430,0.501
202208100500,0.501
202208100530,0.501
202208100600,0.501
202208100630,0.501
202208100700,0.501
202208100730,0.501
202208100800,0.501
202208100830,0.501
202208100900,0.501
202208100930,0.501
202208101000,0.501
202208101030,0.501
202208101100,0.501
202208101130,0.501
202208101200,0.501
202208101230,0.501
202208101300,0.501
202208101330,0.501
202208101400,0.501
202208101430,0.501
202208101500,0.501
