Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016,P00017,P00018,P00019,P00020,P00021,P00022,P00023,P00024,P00025,P00026,P00027,P00028,P00029,P00030,P00031,P00032
202208110010,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648,262.98648
202208110020,263.32132,263.33875,263.35693,263.33131,263.33873,263.3853,263.35479,263.3853,263.36063,263.33943,263.36658,263.37294,263.373,263.35179,263.38085,263.37355,263.37358,263.35687,263.33888,263.35379,263.38861,263.38861,263.33269,263.3853,263.38815,263.37358,263.32958,263.35175,263.3548,263.35484,263.35176,263.36347
202208110030,263.6656,263.72287,263.78177,263.69852,263.72199,263.87602,263.7747,263.87602,263.78685,263.72312,263.81369,263.83491,263.83605,263.76609,263.85531,263.83685,263.83695,263.78044,263.72545,263.76555,263.8871,263.88709,263.70234,263.87602,263.87879,263.83694,263.69766,263.76471,263.77474,263.77484,263.76472,263.80082
202208110040,264.0159,264.13972,264.26178,264.08729,264.13467,264.46339,264.24669,264.46339,264.26395,264.13561,264.32984,264.37598,264.38126,264.23417,264.41161,264.37946,264.37962,264.2551,264.15201,264.21892,264.48717,264.48702,264.09315,264.46338,264.4572,264.37956,264.09711,264.22572,264.24676,264.24688,264.22541,264.29899
202208110050,264.37031,264.592,264.79684,264.49772,264.57541,265.14878,264.77049,265.14878,264.79116,264.5754,264.91506,264.99815,265.01226,264.76262,265.05008,265.00198,265.0022,264.77733,264.62549,264.71184,265.19042,265.18952,264.50352,265.14864,265.12091,265.00172,264.53364,264.73527,264.77028,264.77042,264.73312,264.85746
202208110100,264.72768,265.08361,265.38627,264.92982,265.04286,265.9313,265.34547,265.9313,265.36736,265.04112,265.56786,265.70232,265.73055,265.35764,265.76971,265.70337,265.70364,265.34335,265.15127,265.24237,265.99598,265.99281,264.93208,265.93064,265.8667,265.70157,265.01039,265.29444,265.34404,265.3442,265.28653,265.47492
202208110110,265.0874,265.61914,266.02937,265.38339,265.53571,266.80899,265.97121,266.80899,265.99129,265.53155,266.28591,266.48874,266.53615,266.02417,266.56887,266.48179,266.48209,265.94979,265.73279,265.80867,266.90178,266.89355,265.37768,266.8069,266.69128,266.47592,265.52845,265.90492,265.96642,265.96663,265.88413,266.14982
202208110120,265.44923,266.20352,266.72558,265.85813,266.05283,267.77959,266.64763,267.77959,266.66169,266.04564,267.06655,267.35738,267.42834,266.76583,267.44581,267.33524,267.33552,266.59382,266.37218,266.40911,267.90531,267.88781,265.83933,267.77438,267.5917,267.32092,266.08774,266.5689,266.63579,266.63612,266.52442,266.88068
202208110130,265.81321,266.84146,267.47452,266.35368,266.59319,268.84092,267.37499,268.84092,267.37734,266.5825,267.90711,268.30805,268.40616,267.58509,268.39887,268.26179,268.26194,267.27302,267.0707,267.0422,269.00402,268.97159,266.31619,268.82991,268.56557,268.23254,266.6876,267.28872,267.35061,267.35116,267.20601,267.66614
202208110140,266.17948,267.53713,268.2759,266.86961,267.15583,269.99092,268.15368,269.99092,268.13705,267.14134,268.80497,269.34036,269.46849,268.48342,269.42644,269.2596,269.25939,267.98533,267.82906,267.70655,270.19529,270.1409,266.80749,269.97028,269.61095,269.2068,267.32718,268.0666,268.10936,268.11031,267.92759,268.50494
202208110150,266.54826,268.29386,269.12926,267.40543,267.73982,271.22742,268.984,271.22741,268.93949,267.72138,269.75752,270.45352,270.61398,269.4613,270.52675,270.32677,270.32579,268.72881,268.64748,268.4008,271.47622,271.39161,267.31247,271.1921,270.72609,270.23975,268.00549,268.90432,268.9105,268.91206,268.68783,269.39574
202208110200,266.91973,269.11386,270.03381,267.96054,268.34416,272.5478,269.86594,272.54776,269.78306,268.32184,270.76198,271.64606,271.8408,270.51815,271.69758,271.46107,271.45867,269.50154,269.52565,269.12349,272.84331,272.71909,267.83035,272.49157,271.9091,271.32737,268.72144,269.80304,269.75228,269.75475,269.48527,270.33694
202208110210,267.29406,269.9982,270.98828,268.53423,268.96777,273.94874,270.79902,273.94863,270.66583,268.94185,271.81536,272.91573,273.14644,271.65239,272.93609,272.65981,272.65495,270.30155,270.46263,269.87305,274.29217,274.11801,268.3603,273.86426,273.15774,272.46545,269.47377,270.76313,270.63273,270.63645,270.31824,271.32656
