Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016,P00017,P00018,P00019,P00020,P00021,P00022,P00023,P00024,P00025,P00026,P00027,P00028,P00029,P00030,P00031,P00032
202208110000,0.246,0.413,0.369,0.395,0.412,0.498,0.47,0.495,0.431,0.39,0.295,0.486,0.482,0.492,0.41,0.403,0.397,0.374,0.466,0.362,0.366,0.356,0.319,0.469,0.494,0.446,0.374,0.483,0.418,0.413,0.425,0.328
202208110030,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110100,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110130,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110200,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110230,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110300,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110330,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110400,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
202208110430,1.452,2.14,1.58,2.308,2.298,1.884,2.426,1.867,1.587,2.251,1.679,1.903,1.869,2.394,1.684,1.654,1.623,1.505,2.201,1.45,1.731,1.678,2.072,1.766,2.142,1.683,2.377,2.418,2.452,2.448,2.445,2.201
