Datetime,P00001
202208110010,290.39179
202208110020,290.26347
202208110030,290.17373
202208110040,290.12274
202208110050,290.11127
202208110100,290.14219
202208110110,290.21697
202208110120,290.3352
202208110130,290.49575
202208110140,290.6972
202208110150,290.938
202208110200,291.21659
202208110210,291.53133
202208110220,291.88056
202208110230,292.26259
202208110240,292.67554
202208110250,293.1176
202208110300,293.58701
202208110310,294.08207
202208110320,294.60112
202208110330,295.14261
202208110340,295.70515
202208110350,296.28759
202208110400,296.88898
202208110410,297.50866
202208110420,298.14619
202208110430,298.80135
202208110440,299.4741
202208110450,300.16452
202208110500,300.87274
202208110510,301.59885
202208110520,302.34287
202208110530,303.10464
202208110540,303.88378
202208110550,304.67969
202208110600,305.49151
202208110610,306.31817
202208110620,307.1584
202208110630,308.01082
202208110640,308.87396
202208110650,309.74641
202208110700,310.62685
202208110710,311.5141
202208110720,312.40723
202208110730,313.3056
202208110740,314.20882
202208110750,315.11687
202208110800,316.03002
202208110810,316.94885
202208110820,317.87423
202208110830,318.80729
202208110840,319.7494
202208110850,320.70212
202208110900,321.66717
202208110910,322.64643
202208110920,323.64189
202208110930,324.6556
202208110940,325.68974
202208110950,326.74651
202208111000,327.82818
202208111010,328.93705
202208111020,330.07546
202208111030,331.24579
202208111040,332.45045
202208111050,333.69188
202208111100,334.97257
202208111110,336.295
202208111120,337.66171
202208111130,339.07525
202208111140,340.53818
202208111150,342.05307
202208111200,343.6225
202208111210,345.24903
202208111220,346.93517
202208111230,348.68341
202208111240,350.49614
202208111250,352.37569
202208111300,354.32423
202208111310,356.34383
202208111320,358.43635
202208111330,360.60348
202208111340,362.84668
202208111350,365.16716
202208111400,367.56585
202208111410,370.04341
202208111420,372.60015
202208111430,375.23611
202208111440,377.95093
202208111450,380.74412
202208111500,383.61411
202208111510,386.56013
202208111520,389.58023
202208111530,392.6722
202208111540,395.83356
202208111550,399.06185
202208111600,402.3539
202208111610,405.70656
202208111620,409.11611
202208111630,412.5786
202208111640,416.08866
202208111650,419.6418
202208111700,423.23131
202208111710,426.85119
202208111720,430.49521
202208111730,434.15748
202208111740,437.83281
202208111750,441.5172
202208111800,445.20795
202208111810,448.90421
202208111820,452.60641
202208111830,456.31546
202208111840,460.03382
202208111850,463.76282
202208111900,467.50465
202208111910,471.2602
202208111920,475.02933
202208111930,478.81021
202208111940,482.59914
202208111950,486.39151
202208112000,490.18045
202208112010,493.95887
202208112020,497.71824
202208112030,501.44876
202208112040,505.14064
202208112050,508.78388
202208112100,512.37019
202208112110,515.89334
202208112120,519.35111
202208112130,522.74374
202208112140,526.07351
202208112150,529.34541
202208112200,532.56477
202208112210,535.73721
202208112220,538.86737
202208112230,541.95933
202208112240,545.01611
202208112250,548.04029
202208112300,551.03472
202208112310,554.00335
202208112320,556.94983
202208112330,559.87805
202208112340,562.79064
202208112350,565.6893
202208120000,568.57299
202208120010,571.43946
202208120020,574.24814
202208120030,576.98874
202208120040,579.65213
202208120050,582.23048
202208120100,584.72177
202208120110,587.12381
202208120120,589.4388
202208120130,591.66906
202208120140,593.81731
202208120150,595.88826
202208120200,597.8854
202208120210,599.8091
202208120220,601.65639
202208120230,603.42237
202208120240,605.10755
202208120250,606.71224
202208120300,608.24664
202208120310,609.72547
202208120320,611.16166
202208120330,612.57147
202208120340,613.96258
202208120350,615.33992
202208120400,616.70166
202208120410,618.04446
202208120420,619.36146
202208120430,620.65175
202208120440,621.91037
202208120450,623.1404
202208120500,624.34513
202208120510,625.53149
202208120520,626.70115
202208120530,627.85769
202208120540,628.99706
202208120550,630.11259
202208120600,631.19272
202208120610,632.22811
202208120620,633.20773
202208120630,634.12239
202208120640,634.96779
202208120650,635.74004
202208120700,636.43556
202208120710,637.04886
202208120720,637.57484
202208120730,638.00957
202208120740,638.34717
202208120750,638.58788
202208120800,638.73169
202208120810,638.78579
202208120820,638.75771
202208120830,638.66069
202208120840,638.50745
202208120850,638.30982
202208120900,638.07778
202208120910,637.81573
202208120920,637.52558
202208120930,637.20629
202208120940,636.85197
202208120950,636.45713
202208121000,636.01287
202208121010,635.51324
202208121020,634.94732
202208121030,634.3115
202208121040,633.60137
202208121050,632.8147
202208121100,631.94736
202208121110,630.98826
202208121120,629.9247
202208121130,628.74612
202208121140,627.45
202208121150,626.04395
202208121200,624.54412
202208121210,622.97143
202208121220,621.34759
202208121230,619.69207
202208121240,618.02066
202208121250,616.34493
202208121300,614.67247
202208121310,613.00739
202208121320,611.35095
202208121330,609.70226
202208121340,608.05887
202208121350,606.41735
202208121400,604.77379
202208121410,603.12418
202208121420,601.46473
202208121430,599.79205
202208121440,598.10325
202208121450,596.39606
202208121500,594.66876
202208121510,592.92016
202208121520,591.14958
202208121530,589.35678
202208121540,587.54197
202208121550,585.70575
202208121600,583.84912
202208121610,581.97345
202208121620,580.08033
202208121630,578.17158
202208121640,576.24931
202208121650,574.31527
202208121700,572.37129
202208121710,570.42042
202208121720,568.46309
202208121730,566.50121
202208121740,564.53608
202208121750,562.56881
202208121800,560.5983
202208121810,558.62184
202208121820,556.63264
202208121830,554.62205
202208121840,552.58177
202208121850,550.50532
202208121900,548.39281
202208121910,546.24757
202208121920,544.07886
202208121930,541.89876
202208121940,539.72071
202208121950,537.55837
202208122000,535.42303
202208122010,533.32355
202208122020,531.26548
202208122030,529.25085
202208122040,527.27984
202208122050,525.35132
202208122100,523.46309
202208122110,521.61352
202208122120,519.80059
202208122130,518.02285
202208122140,516.27971
202208122150,514.56974
202208122200,512.89195
202208122210,511.24411
202208122220,509.62365
202208122230,508.02723
202208122240,506.45214
202208122250,504.89643
202208122300,503.35917
202208122310,501.84012
202208122320,500.34025
202208122330,498.86026
202208122340,497.39988
202208122350,495.9602
202208130000,494.53962
202208130010,493.13717
202208130020,491.71526
202208130030,490.26941
202208130040,488.7969
202208130050,487.29397
202208130100,485.756
202208130110,484.17872
202208130120,482.56039
202208130130,480.90242
202208130140,479.21042
202208130150,477.49304
202208130200,475.76203
202208130210,474.02904
202208130220,472.30612
202208130230,470.60302
202208130240,468.92741
202208130250,467.28257
202208130300,465.67015
202208130310,464.08546
202208130320,462.52374
202208130330,460.97913
202208130340,459.44683
202208130350,457.92442
202208130400,456.41109
202208130410,454.90781
202208130420,453.41391
202208130430,451.92955
202208130440,450.45461
202208130450,448.98935
202208130500,447.53428
202208130510,446.08933
202208130520,444.65303
202208130530,443.22281
202208130540,441.79535
202208130550,440.36839
202208130600,438.94165
202208130610,437.51741
202208130620,436.10045
202208130630,434.69757
202208130640,433.31602
202208130650,431.96274
202208130700,430.64319
202208130710,429.36028
202208130720,428.11459
202208130730,426.90343
202208130740,425.72244
202208130750,424.56622
202208130800,423.42841
202208130810,422.30298
202208130820,421.18425
202208130830,420.06727
202208130840,418.94828
202208130850,417.82411
202208130900,416.69229
202208130910,415.55058
202208130920,414.39636
202208130930,413.2276
202208130940,412.0429
202208130950,410.8426
202208131000,409.62866
202208131010,408.40439
202208131020,407.17414
202208131030,405.94195
202208131040,404.71122
202208131050,403.48367
202208131100,402.25906
202208131110,401.0357
202208131120,399.81135
202208131130,398.58397
202208131140,397.3516
202208131150,396.11156
202208131200,394.85948
202208131210,393.58902
202208131220,392.29287
202208131230,390.96447
202208131240,389.59985
202208131250,388.19894
202208131300,386.76602
202208131310,385.3093
202208131320,383.83995
202208131330,382.3708
202208131340,380.91498
202208131350,379.48481
202208131400,378.09089
202208131410,376.74159
202208131420,375.44275
202208131430,374.19772
202208131440,373.00753
202208131450,371.8712
202208131500,370.78609
202208131510,369.74832
202208131520,368.75312
202208131530,367.79518
202208131540,366.86896
202208131550,365.9689
202208131600,365.08963
202208131610,364.22611
202208131620,363.37371
202208131630,362.52828
202208131640,361.68619
202208131650,360.84436
202208131700,360.0002
202208131710,359.15164
202208131720,358.29707
202208131730,357.43524
