Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202208230000,0.511,0.391,1.1,0.516,0.405,0.503,0.312,1.794,0.097,0.414,0.361,1.898,0.455,0.387,1.793,0.382
202208230030,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230100,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230130,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230200,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230230,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230300,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230330,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230400,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230430,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230500,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230530,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230600,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230630,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230700,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230730,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230800,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230830,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230900,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208230930,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231000,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231030,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231100,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231130,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231200,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231230,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231300,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231330,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231400,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231430,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231500,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231530,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231600,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
202208231630,0.014,0.009,0.233,0.012,0.01,0.012,0.008,0.584,0.001,0.01,0.009,0.682,0.011,0.009,0.684,0.009
