Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202209070010,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624,496.87624
202209070020,495.87521,495.86319,495.86337,495.86806,495.86319,495.86761,495.86293,495.86806,495.86319,495.8759,495.86319,495.86806,495.87431,495.87521,495.86319,495.86319
202209070030,494.87443,494.83797,494.83993,494.85268,494.83797,494.85135,494.8374,494.85269,494.83797,494.876,494.83811,494.85268,494.8715,494.87443,494.83797,494.83801
202209070040,493.87246,493.79944,493.80688,493.8287,493.7994,493.82612,493.79851,493.8288,493.7994,493.87487,493.80038,493.82864,493.86567,493.87241,493.7994,493.79974
202209070050,492.86966,492.74809,492.76668,492.79628,492.74786,492.79228,492.74666,492.79665,492.74786,492.87284,492.75132,492.79608,492.85617,492.86934,492.74786,492.74921
202209070100,491.86819,491.68626,491.72312,491.75731,491.68542,491.75193,491.68394,491.75824,491.68542,491.87208,491.69406,491.75685,491.84422,491.86706,491.68541,491.689
202209070110,490.87137,490.61768,490.68076,490.71494,490.61544,490.70848,490.61373,490.71679,490.61545,490.87608,490.63295,490.7141,490.83252,490.8685,490.61544,490.62296
202209070120,489.8829,489.54667,489.64426,489.67292,489.5419,489.66587,489.53997,489.67606,489.5419,489.88877,489.57274,489.67154,489.82442,489.87705,489.54189,489.55544
202209070130,488.90604,488.47731,488.61767,488.63476,488.46853,488.62776,488.46642,488.63954,488.46856,488.91372,488.51783,488.63266,488.82312,488.89575,488.46849,488.4905
202209070140,487.94305,487.41285,487.60389,487.60314,487.39831,487.59697,487.39603,487.60991,487.3984,487.95353,487.47157,487.60011,487.83104,487.92677,487.3982,487.43134
202209070150,486.9949,486.35531,486.60442,486.5796,486.33307,486.57511,486.3306,486.58866,486.33328,487.00946,486.43603,486.57537,486.84945,486.97109,486.33281,486.37994
202209070200,486.06121,485.30544,485.61936,485.56438,485.27342,485.56249,485.27071,485.57602,485.27386,486.0814,485.41185,485.55865,485.87837,486.02842,485.27286,485.33699
202209070210,485.14043,484.26276,484.64754,484.55656,484.21881,484.55821,484.21574,484.57106,484.21961,485.168,484.39841,484.54898,484.9167,485.09735,484.21775,484.30196
202209070220,484.23007,483.2258,483.68681,483.55429,483.16776,483.56042,483.16413,483.57191,483.16912,484.26691,483.39405,483.54446,483.96238,484.17554,483.16591,483.27336
202209070230,483.32698,482.19234,482.7343,482.55498,482.11809,482.56653,482.11362,482.57599,482.12023,483.37505,482.39632,482.54246,483.01273,483.26002,482.11507,482.24895
202209070240,482.42764,481.15971,481.78671,481.55562,481.06715,481.5735,481.06147,481.58032,481.07035,482.48895,481.40231,481.53994,482.06462,482.34742,481.06251,481.22603
202209070250,481.52841,480.12499,480.84059,480.553,480.01212,480.57806,480.00477,480.58169,480.01666,481.60496,480.40885,480.53366,481.11478,481.43427,480.0053,480.20166
202209070300,480.62568,479.0852,479.89249,479.54389,478.95011,479.57694,478.94056,479.57689,478.95631,480.71946,479.41274,479.52038,480.15996,480.51712,478.94049,479.17288
202209070310,479.71607,478.03749,478.93915,478.5252,477.87836,478.56696,477.86603,478.56285,477.88656,479.82905,478.4109,478.49701,479.19706,479.59271,477.86523,478.13684
202209070320,478.79651,476.97922,477.97756,477.49406,476.79433,477.54521,476.77863,477.53674,476.80485,478.93059,477.40048,477.46069,478.22324,478.65807,476.77693,477.09089
202209070330,477.86425,475.90805,477.00509,476.44797,475.6958,476.50907,475.67608,476.49605,475.70894,478.02134,476.37894,476.40892,477.23602,477.71058,475.67328,476.03269
