Datetime,P00010
202207210000,0.373
202207210030,0.511
202207210100,0.511
202207210130,0.511
202207210200,0.511
202207210230,0.511
202207210300,0.511
202207210330,0.511
202207210400,0.511
202207210430,0.511
202207210500,0.511
202207210530,0.511
202207210600,0.511
202207210630,0.511
202207210700,0.511
202207210730,0.511
202207210800,0.511
202207210830,0.511
202207210900,0.511
202207210930,0.511
202207211000,0.511
202207211030,0.511
202207211100,0.511
202207211130,0.511
202207211200,0.511
202207211230,0.511
202207211300,0.511
202207211330,0.511
202207211400,0.511
202207211430,0.511
202207211500,0.511
202207211530,0.511
202207211600,0.511
202207211630,0.511
202207211700,0.511
202207211730,0.511
202207211800,0.511
202207211830,0.511
202207211900,0.511
202207211930,0.511
202207212000,0.511
202207212030,0.511
202207212100,0.511
202207212130,0.511
202207212200,0.511
202207212230,0.511
202207212300,0.511
202207212330,0.511
202207220000,0.511
202207220030,0.374
202207220100,0.374
202207220130,0.374
202207220200,0.374
202207220230,0.374
202207220300,0.374
202207220330,0.374
202207220400,0.374
202207220430,0.374
202207220500,0.374
202207220530,0.374
202207220600,0.374
202207220630,0.374
202207220700,0.374
202207220730,0.374
202207220800,0.374
202207220830,0.374
202207220900,0.374
202207220930,0.374
202207221000,0.374
202207221030,0.374
202207221100,0.374
202207221130,0.374
202207221200,0.374
202207221230,0.374
202207221300,0.374
202207221330,0.374
202207221400,0.374
202207221430,0.374
202207221500,0.374
202207221530,0.374
202207221600,0.374
202207221630,0.374
202207221700,0.374
202207221730,0.374
202207221800,0.374
202207221830,0.374
202207221900,0.374
202207221930,0.374
202207222000,0.374
202207222030,0.374
202207222100,0.374
202207222130,0.374
202207222200,0.374
202207222230,0.374
202207222300,0.374
202207222330,0.374
202207230000,0.374
202207230030,0.067
202207230100,0.067
202207230130,0.067
202207230200,0.067
202207230230,0.067
202207230300,0.067
202207230330,0.067
202207230400,0.067
202207230430,0.067
202207230500,0.067
202207230530,0.067
202207230600,0.067
202207230630,0.067
202207230700,0.067
202207230730,0.067
202207230800,0.067
202207230830,0.067
202207230900,0.067
202207230930,0.067
202207231000,0.067
202207231030,0.067
202207231100,0.067
202207231130,0.067
202207231200,0.067
202207231230,0.067
202207231300,0.067
202207231330,0.067
202207231400,0.067
202207231430,0.067
202207231500,0.067
202207231530,0.067
202207231600,0.067
202207231630,0.067
202207231700,0.067
202207231730,0.067
202207231800,0.067
202207231830,0.067
202207231900,0.067
202207231930,0.067
202207232000,0.067
202207232030,0.067
202207232100,0.067
202207232130,0.067
202207232200,0.067
202207232230,0.067
202207232300,0.067
202207232330,0.067
202207240000,0.067
202207240030,0.07
202207240100,0.07
202207240130,0.07
202207240200,0.07
202207240230,0.07
202207240300,0.07
202207240330,0.07
202207240400,0.07
202207240430,0.07
202207240500,0.07
202207240530,0.07
202207240600,0.07
202207240630,0.07
202207240700,0.07
202207240730,0.07
202207240800,0.07
202207240830,0.07
202207240900,0.07
202207240930,0.07
202207241000,0.07
202207241030,0.07
202207241100,0.07
202207241130,0.07
202207241200,0.07
202207241230,0.07
202207241300,0.07
202207241330,0.07
202207241400,0.07
202207241430,0.07
202207241500,0.07
202207241530,0.07
202207241600,0.07
202207241630,0.07
202207241700,0.07
202207241730,0.07
202207241800,0.07
202207241830,0.07
202207241900,0.07
202207241930,0.07
202207242000,0.07
202207242030,0.07
202207242100,0.07
202207242130,0.07
202207242200,0.07
202207242230,0.07
202207242300,0.07
202207242330,0.07
202207250000,0.07
202207250030,0.119
202207250100,0.119
202207250130,0.119
202207250200,0.119
202207250230,0.119
202207250300,0.119
202207250330,0.119
202207250400,0.119
202207250430,0.119
202207250500,0.119
202207250530,0.119
202207250600,0.119
202207250630,0.119
202207250700,0.119
202207250730,0.119
202207250800,0.119
202207250830,0.119
202207250900,0.119
202207250930,0.119
202207251000,0.119
202207251030,0.119
202207251100,0.119
202207251130,0.119
202207251200,0.119
202207251230,0.119
202207251300,0.119
202207251330,0.119
202207251400,0.119
202207251430,0.119
202207251500,0.119
202207251530,0.119
202207251600,0.119
202207251630,0.119
202207251700,0.119
202207251730,0.119
202207251800,0.119
202207251830,0.119
202207251900,0.119
202207251930,0.119
202207252000,0.119
202207252030,0.119
202207252100,0.119
202207252130,0.119
202207252200,0.119
202207252230,0.119
202207252300,0.119
202207252330,0.119
202207260000,0.119
202207260030,0.119
202207260100,0.119
202207260130,0.119
202207260200,0.119
202207260230,0.119
202207260300,0.119
202207260330,0.119
202207260400,0.119
202207260430,0.119
202207260500,0.119
202207260530,0.119
202207260600,0.119
202207260630,0.119
202207260700,0.119
202207260730,0.119
202207260800,0.119
202207260830,0.119
202207260900,0.119
202207260930,0.119
202207261000,0.119
202207261030,0.119
202207261100,0.119
202207261130,0.119
