Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202207300000,0.025,0.065,0.064,0.074,0.093,0.121,0.072,0.063,0.06,0.064,0.062,0.086,0.072,0.062,0.06,0.085
202207300030,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300100,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300130,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300200,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300230,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300300,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300330,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300400,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300430,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300500,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300530,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300600,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300630,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300700,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300730,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300800,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300830,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300900,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207300930,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301000,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301030,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301100,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301130,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301200,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301230,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301300,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301330,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301400,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301430,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301500,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301530,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301600,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301630,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301700,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301730,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301800,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301830,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301900,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207301930,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302000,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302030,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302100,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302130,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302200,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302230,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302300,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207302330,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207310000,0.214,0.296,0.295,0.299,0.257,0.245,0.301,0.296,0.293,0.233,0.292,0.26,0.301,0.292,0.221,0.259
202207310030,0.244,0.26,0.259,0.252,0.185,0.188,0.257,0.261,0.259,0.179,0.258,0.188,0.257,0.258,0.168,0.19
