Datetime,P00013
202208050010,119.65802
202208050020,119.38678
202208050030,119.11747
202208050040,118.85033
202208050050,118.58518
202208050100,118.32185
202208050110,118.06022
202208050120,117.80021
202208050130,117.54173
202208050140,117.2847
202208050150,117.02907
202208050200,116.77476
202208050210,116.52171
202208050220,116.26986
202208050230,116.01917
202208050240,115.76958
202208050250,115.52105
202208050300,115.27355
202208050310,115.02706
202208050320,114.78156
202208050330,114.53704
202208050340,114.29352
202208050350,114.05101
202208050400,113.80953
202208050410,113.56911
202208050420,113.32979
202208050430,113.09161
202208050440,112.85461
202208050450,112.61884
202208050500,112.38435
202208050510,112.15119
202208050520,111.91939
202208050530,111.68901
202208050540,111.46007
202208050550,111.23261
202208050600,111.00666
202208050610,110.78224
202208050620,110.55935
202208050630,110.33801
202208050640,110.1182
202208050650,109.89993
202208050700,109.68317
202208050710,109.46791
202208050720,109.25411
202208050730,109.04174
202208050740,108.83077
202208050750,108.62115
202208050800,108.41283
202208050810,108.20576
202208050820,107.9999
202208050830,107.79519
202208050840,107.59158
202208050850,107.38901
202208050900,107.18743
202208050910,106.9868
202208050920,106.78706
202208050930,106.58816
202208050940,106.39006
202208050950,106.19272
202208051000,105.99609
202208051010,105.80014
202208051020,105.60483
202208051030,105.41014
202208051040,105.21603
202208051050,105.02247
202208051100,104.82946
202208051110,104.63696
202208051120,104.44496
202208051130,104.25345
202208051140,104.06241
202208051150,103.87184
202208051200,103.68173
202208051210,103.49207
202208051220,103.30286
202208051230,103.1141
202208051240,102.92578
202208051250,102.73792
202208051300,102.5505
202208051310,102.36354
202208051320,102.17704
202208051330,101.991
202208051340,101.80542
202208051350,101.62032
202208051400,101.4357
202208051410,101.25157
202208051420,101.06793
202208051430,100.88478
202208051440,100.70215
202208051450,100.52002
202208051500,100.33842
202208051510,100.15733
202208051520,99.97679
202208051530,99.79677
202208051540,99.6173
202208051550,99.43838
202208051600,99.26001
202208051610,99.0822
202208051620,98.90496
202208051630,98.72827
202208051640,98.55216
202208051650,98.37662
202208051700,98.20166
202208051710,98.02727
202208051720,97.85347
202208051730,97.68024
202208051740,97.5076
202208051750,97.33555
202208051800,97.16407
202208051810,96.99319
202208051820,96.82289
202208051830,96.65317
202208051840,96.48404
202208051850,96.31549
202208051900,96.14752
202208051910,95.98013
202208051920,95.81333
202208051930,95.6471
202208051940,95.48144
202208051950,95.31637
202208052000,95.15186
202208052010,94.98792
202208052020,94.82455
202208052030,94.66174
202208052040,94.4995
202208052050,94.33781
202208052100,94.17668
202208052110,94.0161
202208052120,93.85608
202208052130,93.6966
202208052140,93.53766
202208052150,93.37927
202208052200,93.22142
202208052210,93.0641
202208052220,92.90732
202208052230,92.75106
202208052240,92.59534
202208052250,92.44013
202208052300,92.28546
202208052310,92.1313
202208052320,91.97765
202208052330,91.82452
202208052340,91.67191
202208052350,91.5198
202208060000,91.3682
202208060010,91.2171
202208060020,91.06342
202208060030,90.90696
202208060040,90.74771
202208060050,90.58579
202208060100,90.42137
202208060110,90.25467
202208060120,90.08586
202208060130,89.91511
202208060140,89.74259
202208060150,89.56844
202208060200,89.39277
202208060210,89.21573
202208060220,89.03743
202208060230,88.85798
202208060240,88.67749
202208060250,88.49605
202208060300,88.31376
202208060310,88.13071
202208060320,87.94696
202208060330,87.76261
202208060340,87.57769
202208060350,87.39228
202208060400,87.20641
202208060410,87.02013
202208060420,86.83347
202208060430,86.64645
202208060440,86.45911
202208060450,86.27144
202208060500,86.08348
202208060510,85.89524
202208060520,85.70673
202208060530,85.51796
202208060540,85.32895
202208060550,85.13973
202208060600,84.95029
202208060610,84.76068
202208060620,84.57091
202208060630,84.381
202208060640,84.19099
202208060650,84.00091
202208060700,83.81079
202208060710,83.62066
202208060720,83.43057
202208060730,83.24054
202208060740,83.05061
202208060750,82.86084
202208060800,82.67124
202208060810,82.48186
202208060820,82.29274
202208060830,82.10392
202208060840,81.91543
202208060850,81.7273
202208060900,81.53958
202208060910,81.35228
202208060920,81.16546
202208060930,80.97913
202208060940,80.79332
202208060950,80.60807
202208061000,80.42339
202208061010,80.23931
202208061020,80.05585
202208061030,79.87304
202208061040,79.69089
202208061050,79.50943
