Datetime,P00001
202208160010,243.38675
202208160020,243.16589
202208160030,242.94652
202208160040,242.72793
202208160050,242.50989
202208160100,242.29239
202208160110,242.07545
202208160120,241.8591
202208160130,241.64338
202208160140,241.42832
202208160150,241.21397
202208160200,241.00036
202208160210,240.78756
202208160220,240.57562
202208160230,240.3646
202208160240,240.15454
202208160250,239.94549
202208160300,239.73749
202208160310,239.53054
202208160320,239.32467
202208160330,239.11985
202208160340,238.91607
202208160350,238.71328
202208160400,238.51146
202208160410,238.31053
202208160420,238.11045
202208160430,237.91115
202208160440,237.71257
202208160450,237.51464
202208160500,237.31732
202208160510,237.12054
202208160520,236.92425
202208160530,236.72842
202208160540,236.53301
202208160550,236.338
202208160600,236.14336
202208160610,235.94908
202208160620,235.75516
202208160630,235.56161
202208160640,235.36843
202208160650,235.17563
202208160700,234.98323
202208160710,234.79126
202208160720,234.59973
202208160730,234.40867
202208160740,234.21809
202208160750,234.02803
202208160800,233.83849
202208160810,233.64949
202208160820,233.46105
202208160830,233.27317
202208160840,233.08586
202208160850,232.89911
202208160900,232.71291
202208160910,232.52725
202208160920,232.34211
202208160930,232.15747
202208160940,231.9733
202208160950,231.78957
202208161000,231.60622
202208161010,231.42323
202208161020,231.24053
202208161030,231.05808
202208161040,230.87582
202208161050,230.6937
202208161100,230.51163
202208161110,230.32958
202208161120,230.14745
202208161130,229.96519
202208161140,229.78273
202208161150,229.59999
202208161200,229.41689
202208161210,229.23338
202208161220,229.04937
202208161230,228.86479
202208161240,228.67957
202208161250,228.49364
202208161300,228.30692
202208161310,228.11936
202208161320,227.93087
202208161330,227.74139
202208161340,227.55087
202208161350,227.35923
202208161400,227.16641
202208161410,226.97237
202208161420,226.77703
202208161430,226.58036
202208161440,226.3823
202208161450,226.1828
202208161500,225.98181
202208161510,225.77931
202208161520,225.57524
202208161530,225.36957
202208161540,225.16228
202208161550,224.95333
202208161600,224.74269
202208161610,224.53035
202208161620,224.31629
202208161630,224.10049
202208161640,223.88294
202208161650,223.66363
202208161700,223.44256
202208161710,223.21974
202208161720,222.99516
202208161730,222.76883
202208161740,222.54076
202208161750,222.31096
202208161800,222.07944
202208161810,221.8462
202208161820,221.61128
202208161830,221.37467
202208161840,221.13641
202208161850,220.89649
202208161900,220.65495
202208161910,220.41179
202208161920,220.16706
202208161930,219.92075
202208161940,219.67291
202208161950,219.42355
202208162000,219.1727
202208162010,218.92039
202208162020,218.66666
202208162030,218.41152
202208162040,218.15502
202208162050,217.89719
202208162100,217.63806
202208162110,217.37766
202208162120,217.11604
202208162130,216.85323
202208162140,216.58927
202208162150,216.32419
202208162200,216.05803
202208162210,215.79083
202208162220,215.52264
202208162230,215.25348
202208162240,214.98339
202208162250,214.71242
202208162300,214.4406
202208162310,214.16797
202208162320,213.89457
202208162330,213.62043
202208162340,213.34558
202208162350,213.07007
202208170000,212.79393
202208170010,212.51719
202208170020,212.23631
202208170030,211.9511
202208170040,211.66158
202208170050,211.36788
202208170100,211.07012
202208170110,210.76838
202208170120,210.46276
202208170130,210.15332
202208170140,209.84013
202208170150,209.52329
202208170200,209.20289
202208170210,208.87905
202208170220,208.55189
202208170230,208.22156
202208170240,207.8882
202208170250,207.55198
202208170300,207.21304
202208170310,206.87156
202208170320,206.52767
202208170330,206.18155
202208170340,205.83333
202208170350,205.48315
202208170400,205.13115
202208170410,204.77746
202208170420,204.42222
202208170430,204.06554
202208170440,203.70752
202208170450,203.34827
202208170500,202.98789
202208170510,202.62648
202208170520,202.26415
202208170530,201.90099
202208170540,201.5371
202208170550,201.1726
202208170600,200.80759
202208170610,200.44216
202208170620,200.07641
202208170630,199.71039
202208170640,199.34418
202208170650,198.97785
202208170700,198.61149
202208170710,198.24518
202208170720,197.87899
202208170730,197.51301
202208170740,197.14731
202208170750,196.78198
202208170800,196.41706
202208170810,196.05264
202208170820,195.68877
202208170830,195.32552
202208170840,194.96292
202208170850,194.60103
202208170900,194.2399
202208170910,193.87954
202208170920,193.52
202208170930,193.16129
202208170940,192.80345
202208170950,192.44648
202208171000,192.09041
202208171010,191.73523
202208171020,191.38097
202208171030,191.02761
202208171040,190.67516
202208171050,190.32362
202208171100,189.97298
202208171110,189.62321
202208171120,189.27432
202208171130,188.92627
202208171140,188.57906
202208171150,188.23266
202208171200,187.88704
202208171210,187.54219
202208171220,187.19809
202208171230,186.8547
202208171240,186.51201
202208171250,186.17
202208171300,185.82863
202208171310,185.48789
202208171320,185.14775
202208171330,184.8082
