Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202209130010,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178,209.14178
202209130020,209.06939,209.06904,209.07446,209.06835,209.07324,209.06939,209.06904,209.06894,209.07324,209.07044,209.07324,209.06835,209.07324,209.06939,209.06904,209.06894
202209130030,208.98114,208.98008,208.99565,208.97803,208.99294,208.98114,208.98008,208.97997,208.99294,208.98435,208.99294,208.97795,208.99294,208.98114,208.98008,208.97997
202209130040,208.87688,208.87475,208.90396,208.87092,208.90064,208.87689,208.87475,208.87477,208.90064,208.88334,208.90064,208.87047,208.90064,208.87689,208.87475,208.87477
202209130050,208.75727,208.75379,208.79924,208.74811,208.79683,208.75733,208.75377,208.75406,208.79682,208.76804,208.79683,208.74668,208.79683,208.75733,208.75377,208.75406
202209130100,208.62293,208.6179,208.68153,208.61067,208.68193,208.62311,208.61782,208.61847,208.68196,208.63904,208.68194,208.60727,208.68193,208.62311,208.61782,208.61847
202209130110,208.47436,208.46774,208.55099,208.45952,208.55625,208.47477,208.46744,208.46852,208.55644,208.49685,208.55631,208.45283,208.55625,208.47477,208.46744,208.46852
202209130120,208.31202,208.30398,208.40782,208.29546,208.42005,208.31281,208.30317,208.30471,208.42061,208.34193,208.4202,208.28391,208.42005,208.31281,208.30315,208.30471
202209130130,208.13644,208.12737,208.25231,208.11922,208.27354,208.13775,208.12556,208.12755,208.27483,208.17474,208.27384,208.10107,208.27354,208.13775,208.12549,208.12755
202209130140,207.94817,207.93872,208.08482,207.93149,208.11693,207.95014,207.9352,207.9376,208.11951,207.9958,208.11747,207.90491,208.11693,207.95014,207.93502,207.9376
202209130150,207.74784,207.73888,207.90579,207.7329,207.95049,207.75058,207.73277,207.73546,207.95505,207.80565,207.95136,207.69606,207.95049,207.75058,207.73234,207.73546
202209130200,207.53612,207.52872,207.7157,207.52405,207.77448,207.53967,207.51896,207.52175,207.78192,207.60485,207.77578,207.47518,207.77448,207.53967,207.5181,207.52175
202209130210,207.31371,207.3091,207.51505,207.30554,207.5892,207.31804,207.29451,207.29713,207.60055,207.394,207.59105,207.24295,207.58921,207.31804,207.29292,207.29713
