  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
         0                         0.000
      1800                         0.066
      3600                         0.131
      5400                         0.197
      7200                         0.262
      9000                         0.328
     10800                         0.393
     12600                         0.459
     14400                         0.524
     16200                         0.590
     18000                         0.655
     19800                         0.721
     21600                         0.787
     23400                         0.852
     25200                         0.918
     27000                         0.983
     28800                         1.049
     30600                         1.114
     32400                         1.180
     34200                         1.245
     36000                         1.311
     37800                         1.376
     39600                         1.442
     41400                         1.507
     43200                         1.573
     45000                         1.639
     46800                         1.704
     48600                         1.770
     50400                         1.835
     52200                         1.901
     54000                         1.966
     55800                         2.032
     57600                         2.097
     59400                         2.163
     61200                         2.228
     63000                         2.294
     64800                         2.360
     66600                         2.425
     68400                         2.491
     70200                         2.556
     72000                         2.622
     73800                         2.687
     75600                         2.753
     77400                         2.818
     79200                         2.884
     81000                         2.949
     82800                         3.015
     84600                         3.080
     86400                         3.146
     88200                         3.415
     90000                         3.684
     91800                         3.952
     93600                         4.221
     95400                         4.490
     97200                         4.759
     99000                         5.027
    100800                         5.296
    102600                         5.565
    104400                         5.834
    106200                         6.103
    108000                         6.371
    109800                         6.640
    111600                         6.909
    113400                         7.178
    115200                         7.446
    117000                         7.715
    118800                         7.984
    120600                         8.253
    122400                         8.522
    124200                         8.790
    126000                         9.059
    127800                         9.328
    129600                         9.597
    131400                         9.865
    133200                        10.134
    135000                        10.403
    136800                        10.672
    138600                        10.941
    140400                        11.209
    142200                        11.478
    144000                        11.747
    145800                        12.016
    147600                        12.284
    149400                        12.553
    151200                        12.822
    153000                        13.091
    154800                        13.360
    156600                        13.628
    158400                        13.897
    160200                        14.166
    162000                        14.435
    163800                        14.703
    165600                        14.972
    167400                        15.241
    169200                        15.510
    171000                        15.779
    172800                        16.047
    174600                        16.223
    176400                        16.399
    178200                        16.574
    180000                        16.750
    181800                        16.926
    183600                        17.101
    185400                        17.277
    187200                        17.453
    189000                        17.628
    190800                        17.804
    192600                        17.980
    194400                        18.155
    196200                        18.331
    198000                        18.507
    199800                        18.682
    201600                        18.858
    203400                        19.034
    205200                        19.209
    207000                        19.385
    208800                        19.561
    210600                        19.736
    212400                        19.912
    214200                        20.088
    216000                        20.263
    217800                        20.439
    219600                        20.615
    221400                        20.790
    223200                        20.966
    225000                        21.142
    226800                        21.317
    228600                        21.493
    230400                        21.669
    232200                        21.844
    234000                        22.020
    235800                        22.196
    237600                        22.371
    239400                        22.547
    241200                        22.723
    243000                        22.898
    244800                        23.074
    246600                        23.250
    248400                        23.426
    250200                        23.601
    252000                        23.777
    253800                        23.953
    255600                        24.128
    257400                        24.304
    259200                        24.480
    261000                        24.810
    262800                        25.140
    264600                        25.470
    266400                        25.801
    268200                        26.131
    270000                        26.461
    271800                        26.791
    273600                        27.122
    275400                        27.452
    277200                        27.782
    279000                        28.112
    280800                        28.443
    282600                        28.773
    284400                        29.103
    286200                        29.433
    288000                        29.764
    289800                        30.094
    291600                        30.424
    293400                        30.754
    295200                        31.085
    297000                        31.415
    298800                        31.745
    300600                        32.075
    302400                        32.406
    304200                        32.736
    306000                        33.066
    307800                        33.396
    309600                        33.727
    311400                        34.057
    313200                        34.387
    315000                        34.717
    316800                        35.048
    318600                        35.378
    320400                        35.708
    322200                        36.038
    324000                        36.369
    325800                        36.699
    327600                        37.029
    329400                        37.359
    331200                        37.690
    333000                        38.020
    334800                        38.350
    336600                        38.680
    338400                        39.011
    340200                        39.341
    342000                        39.671
    343800                        40.001
    345600                        40.332
    347400                        40.708
    349200                        41.084
    351000                        41.459
    352800                        41.835
    354600                        42.211
    356400                        42.587
    358200                        42.963
    360000                        43.339
    361800                        43.715
    363600                        44.091
    365400                        44.467
    367200                        44.843
    369000                        45.219
    370800                        45.595
    372600                        45.970
    374400                        46.346
    376200                        46.722
    378000                        47.098
    379800                        47.474
    381600                        47.850
    383400                        48.226
    385200                        48.602
    387000                        48.978
    388800                        49.354
    390600                        49.730
    392400                        50.106
    394200                        50.481
    396000                        50.857
    397800                        51.233
    399600                        51.609
    401400                        51.985
    403200                        52.361
    405000                        52.737
    406800                        53.113
    408600                        53.489
    410400                        53.865
    412200                        54.241
    414000                        54.617
    415800                        54.992
    417600                        55.368
    419400                        55.744
    421200                        56.120
    423000                        56.496
    424800                        56.872
    426600                        57.248
    428400                        57.624
    430200                        58.000
    432000                        58.376
    433800                        58.640
    435600                        58.905
    437400                        59.169
    439200                        59.434
    441000                        59.698
    442800                        59.962
    444600                        60.227
    446400                        60.491
    448200                        60.756
    450000                        61.020
    451800                        61.285
    453600                        61.549
    455400                        61.814
    457200                        62.078
    459000                        62.343
    460800                        62.607
    462600                        62.872
    464400                        63.136
    466200                        63.401
    468000                        63.665
    469800                        63.930
    471600                        64.194
    473400                        64.458
    475200                        64.723
    477000                        64.987
    478800                        65.252
    480600                        65.516
    482400                        65.781
    484200                        66.045
    486000                        66.310
    487800                        66.574
    489600                        66.839
    491400                        67.103
    493200                        67.368
    495000                        67.632
    496800                        67.897
    498600                        68.161
    500400                        68.426
    502200                        68.690
    504000                        68.954
    505800                        69.219
    507600                        69.483
