Datetime,Obs
202405150000,8.75
202405160000,7.40
202405170000,5.92
202405180000,6.95
202405190000,6.50
202405200000,8.75
202405210000,14.64
202405220000,48.35
202405230000,41.68
202405240000,39.58
202405250000,103.65
202405260000,76.95
202405270000,47.60
202405280000,37.10
202405290000,28.00
202405300000,21.90
202405310000,26.17
202406010000,431.00
202406020000,158.10
202406030000,89.12
202406040000,78.65
202406050000,59.84
202406060000,49.85
202406070000,38.96
202406080000,34.00
202406090000,122.00
202406100000,275.00
202406110000,136.00
202406120000,123.00
202406130000,83.00
202406140000,59.84
202406150000,49.10
202406160000,40.94
202406170000,39.58
202406180000,46.12
202406190000,37.72
202406200000,28.00
202406210000,27.39
202406220000,25.56
202406230000,33.40
202406240000,61.42
202406250000,207.20
202406260000,193.10
202406270000,259.40
202406280000,162.30
202406290000,130.00
202406300000,125.00
202407010000,183.90
202407020000,116.00
202407030000,90.00
202407040000,76.10
202407050000,122.00
202407060000,104.60
202407070000,83.00
202407080000,76.10
202407090000,146.00
202407100000,125.00
202407110000,106.50
202407120000,126.00
202407130000,95.25
202407140000,82.12
202407150000,85.62
202407160000,114.10
202407170000,117.00
202407180000,299.30
202407190000,241.50
202407200000,299.30
202407210000,305.50
202407220000,326.00
202407230000,207.20
202407240000,194.25
202407250000,175.95
202407260000,179.30
202407270000,162.30
202407280000,156.00
202407290000,194.25
202407300000,262.00
202407310000,561.80
202408010000,878.70
202408020000,1071.60
202408030000,1032.00
202408040000,784.00
202408050000,610.40
202408060000,746.00
202408070000,488.00
202408080000,332.00
202408090000,262.00
202408100000,221.60
202408110000,212.00
202408120000,533.00
202408130000,527.60
202408140000,470.00
202408150000,320.00
202408160000,309.50
202408170000,645.30
202408180000,563.60
202408190000,560.00
202408200000,590.60
202408210000,1378.50
202408220000,1426.80
202408230000,1212.40
202408240000,918.60
202408250000,700.40
202408260000,515.00
202408270000,979.50
202408280000,887.10
202408290000,599.60
202408300000,480.80
202408310000,470.00
202409010000,426.50
202409020000,378.50
202409030000,332.00
202409040000,303.50
202409050000,392.00
202409060000,288.50
202409070000,235.25
202409080000,251.60
202409090000,326.00
202409100000,565.40
202409110000,515.00
202409120000,543.80
202409130000,453.80
202409140000,628.40
202409150000,414.50
202409160000,341.00
202409170000,289.85
202409180000,275.00
202409190000,255.50
202409200000,230.25
202409210000,219.20
202409220000,218.00
202409230000,570.80
202409240000,585.20
202409250000,479.00
202409260000,359.00
202409270000,288.50
202409280000,242.75
202409290000,291.20
202409300000,271.10
202410010000,491.60
202410020000,360.50
202410030000,281.75
202410040000,259.40
202410050000,227.75
202410060000,194.25
202410070000,177.00
202410080000,163.35
202410090000,154.00
202410100000,142.00
202410110000,140.00
202410120000,128.00
202410130000,126.00
202410140000,121.00
202410150000,129.00
202410160000,130.00
202410170000,126.00
202410180000,115.05
202410190000,110.30
202410200000,108.40
202410210000,106.50
202410220000,108.40
202410230000,106.50
202410240000,91.75
202410250000,90.00
