Datetime,Obs
202405150000,0.19
202405160000,0.25
202405170000,0.28
202405180000,0.32
202405190000,0.29
202405200000,0.3
202405210000,0.25
202405220000,0.13
202405230000,0.41
202405240000,0.32
202405250000,0.29
202405260000,1.07
202405270000,0.77
202405280000,0.4
202405290000,0.25
202405300000,0.1
202405310000,0
202406010000,0.07
202406020000,3.66
202406030000,1.62
202406040000,0.91
202406050000,0.79
202406060000,0.56
202406070000,0.43
202406080000,0.28
202406090000,0.2
202406100000,1.26
202406110000,2.6
202406120000,1.4
202406130000,1.27
202406140000,0.84
202406150000,0.56
202406160000,0.42
202406170000,0.31
202406180000,0.29
202406190000,0.38
202406200000,0.26
202406210000,0.1
202406220000,0.09
202406230000,0.06
202406240000,0.19
202406250000,0.58
202406260000,2.06
202406270000,1.94
202406280000,2.48
202406290000,1.66
202406300000,1.34
202407010000,1.29
202407020000,1.86
202407030000,1.2
202407040000,0.92
202407050000,0.76
202407060000,1.26
202407070000,1.08
202407080000,0.84
202407090000,0.76
202407100000,1.5
202407110000,1.29
202407120000,1.1
202407130000,1.3
202407140000,0.98
202407150000,0.83
202407160000,0.87
202407170000,1.18
202407180000,1.21
202407190000,2.78
202407200000,2.34
202407210000,2.78
202407220000,2.96
202407230000,2.06
202407240000,1.95
202407250000,1.79
202407260000,1.82
202407270000,1.66
202407280000,1.6
202407290000,1.92
202407300000,2.5
202407310000,4.41
202408010000,6.07
202408020000,6.98
202408030000,6.8
202408040000,5.6
202408050000,4.68
202408060000,5.4
202408070000,3.95
202408080000,3
202408090000,2.5
202408100000,2.18
202408110000,2.1
202408120000,4.25
202408130000,4.22
202408140000,3.9
202408150000,2.92
202408160000,2.85
202408170000,4.87
202408180000,4.42
202408190000,4.4
202408200000,4.57
202408210000,8.35
202408220000,8.56
202408230000,7.62
202408240000,6.26
202408250000,5.16
202408260000,4.15
202408270000,6.55
202408280000,6.11
202408290000,4.62
202408300000,3.96
202408310000,3.9
202409010000,3.63
202409020000,3.31
202409030000,3
202409040000,2.81
202409050000,3.4
202409060000,2.7
202409070000,2.29
202409080000,2.42
202409090000,2.96
202409100000,4.43
202409110000,4.15
202409120000,4.31
202409130000,3.81
202409140000,4.78
202409150000,3.55
202409160000,3.06
202409170000,2.71
202409180000,2.6
202409190000,2.45
202409200000,2.25
202409210000,2.16
202409220000,2.15
202409230000,4.46
202409240000,4.54
202409250000,3.95
202409260000,3.18
202409270000,2.7
202409280000,2.35
202409290000,2.72
202409300000,2.57
202410010000,4.02
202410020000,3.19
202410030000,2.65
202410040000,2.48
202410050000,2.23
202410060000,1.95
202410070000,1.8
202410080000,1.67
202410090000,1.58
202410100000,1.46
202410110000,1.44
202410120000,1.32
202410130000,1.3
202410140000,1.25
202410150000,1.33
202410160000,1.34
202410170000,1.3
202410180000,1.19
202410190000,1.14
202410200000,1.12
202410210000,1.1
202410220000,1.12
202410230000,1.1
202410240000,0.94
202410250000,0.92
