Datetime,Obs
202505150000,18.24
202505160000,33.5
202505170000,39.6
202505180000,41.46
202505190000,42.7
202505200000,56.17
202505210000,62.93
202505220000,126.2
202505230000,93.85
202505240000,94.7
202505250000,90
202505260000,77.3
202505270000,67.31
202505280000,53.55
202505290000,45.22
202505300000,39.6
202505310000,38.36
202506010000,44.59
202506020000,44.59
202506030000,45.22
202506040000,45.22
202506050000,44.59
202506060000,45.22
202506070000,45.22
202506080000,45.22
202506090000,45.22
202506100000,34.1
202506110000,30.5
202506120000,56.84
202506130000,97.25
202506140000,85.94
202506150000,65.85
202506160000,54.85
202506170000,48.37
202506180000,43.96
202506190000,43.33
202506200000,55.5
202506210000,45.22
202506220000,45.85
202506230000,77.3
202506240000,157.7
202506250000,110
202506260000,78.09
202506270000,64.39
202506280000,476
202506290000,439.5
202506300000,263.2
202507010000,162.2
202507020000,126.2
202507030000,164
202507040000,495.2
202507050000,311.8
202507060000,210.4
202507070000,188.4
202507080000,195
202507090000,162.2
202507100000,150.5
202507110000,176
202507120000,200
202507130000,317.4
202507140000,257.2
202507150000,202.7
202507160000,303.4
202507170000,615.7
202507180000,1133.6
202507190000,952.8
202507200000,415.5
202507210000,387.4
202507220000,424.5
202507230000,768.4
202507240000,1827.8
202507250000,1814.05
202507260000,1247
202507270000,750
202507280000,997
202507290000,1251
202507300000,1181.6
202507310000,973.6
202508010000,644.2
202508020000,597.4
202508030000,479.2
202508040000,379
202508050000,311.8
202508060000,283.8
202508070000,256
202508080000,234.6
202508090000,219.2
202508100000,224.7
202508110000,190.6
202508120000,271.6
202508130000,232.4
202508140000,219.2
202508150000,217
202508160000,271.6
202508170000,217
202508180000,201.6
202508190000,179
202508200000,156.8
202508210000,148.7
202508220000,136.1
202508230000,161.3
202508240000,154.1
202508250000,172
202508260000,160.4
202508270000,325.8
202508280000,754
202508290000,480.8
202508300000,356.6
