Datetime,Obs
202505150000,0.13
202505160000,0.15
202505170000,0.25
202505180000,0.28
202505190000,0.3
202505200000,0.51
202505210000,0.61
202505220000,1.38
202505230000,1.01
202505240000,1.02
202505250000,1.02
202505260000,0.8
202505270000,0.67
202505280000,0.47
202505290000,0.34
202505300000,0.25
202505310000,0.23
202506010000,0.33
202506020000,0.33
202506030000,0.34
202506040000,0.34
202506050000,0.33
202506060000,0.34
202506070000,0.34
202506080000,0.34
202506090000,0.34
202506100000,0.16
202506110000,0.1
202506120000,0.52
202506130000,1.05
202506140000,0.91
202506150000,0.65
202506160000,0.49
202506170000,0.39
202506180000,0.32
202506190000,0.31
202506200000,0.5
202506210000,0.34
202506220000,0.35
202506230000,0.8
202506240000,1.73
202506250000,1.2
202506260000,0.81
202506270000,0.63
202506280000,4.2
202506290000,3.97
202506300000,2.71
202507010000,1.78
202507020000,1.38
202507030000,1.8
202507040000,4.32
202507050000,3.07
202507060000,2.24
202507070000,2.04
202507080000,2.1
202507090000,1.78
202507100000,1.65
202507110000,1.92
202507120000,2
202507130000,3.11
202507140000,2.66
202507150000,2.17
202507160000,3.01
202507170000,5.03
202507180000,7.24
202507190000,6.58
202507200000,3.81
202507210000,3.61
202507220000,3.87
202507230000,5.82
202507240000,9.31
202507250000,9.24
202507260000,7.57
202507270000,5.73
202507280000,6.75
202507290000,7.58
202507300000,7.38
202507310000,6.66
202508010000,5.18
202508020000,4.93
202508030000,4.22
202508040000,3.55
202508050000,3.07
202508060000,2.87
202508070000,2.65
202508080000,2.46
202508090000,2.32
202508100000,2.37
202508110000,2.06
202508120000,2.78
202508130000,2.44
202508140000,2.32
202508150000,2.3
202508160000,2.78
202508170000,2.3
202508180000,2.16
202508190000,1.95
202508200000,1.72
202508210000,1.63
202508220000,1.49
202508230000,1.77
202508240000,1.69
202508250000,1.88
202508260000,1.76
202508270000,3.17
202508280000,5.75
202508290000,4.23
202508300000,3.39
