  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
         0                         0.000
      1800                         0.128
      3600                         0.256
      5400                         0.384
      7200                         0.512
      9000                         0.640
     10800                         0.768
     12600                         0.896
     14400                         1.024
     16200                         1.152
     18000                         1.281
     19800                         1.409
     21600                         1.537
     23400                         1.665
     25200                         1.793
     27000                         1.921
     28800                         2.049
     30600                         2.177
     32400                         2.305
     34200                         2.433
     36000                         2.561
     37800                         2.689
     39600                         2.817
     41400                         2.945
     43200                         3.073
     45000                         3.201
     46800                         3.329
     48600                         3.457
     50400                         3.585
     52200                         3.713
     54000                         3.842
     55800                         3.970
     57600                         4.098
     59400                         4.226
     61200                         4.354
     63000                         4.482
     64800                         4.610
     66600                         4.738
     68400                         4.866
     70200                         4.994
     72000                         5.122
     73800                         5.250
     75600                         5.378
     77400                         5.506
     79200                         5.634
     81000                         5.762
     82800                         5.890
     84600                         6.018
     86400                         6.146
     88200                         6.313
     90000                         6.480
     91800                         6.647
     93600                         6.814
     95400                         6.981
     97200                         7.148
     99000                         7.315
    100800                         7.482
    102600                         7.648
    104400                         7.815
    106200                         7.982
    108000                         8.149
    109800                         8.316
    111600                         8.483
    113400                         8.650
    115200                         8.817
    117000                         8.983
    118800                         9.150
    120600                         9.317
    122400                         9.484
    124200                         9.651
    126000                         9.818
    127800                         9.985
    129600                        10.152
    131400                        10.319
    133200                        10.485
    135000                        10.652
    136800                        10.819
    138600                        10.986
    140400                        11.153
    142200                        11.320
    144000                        11.487
    145800                        11.654
    147600                        11.820
    149400                        11.987
    151200                        12.154
    153000                        12.321
    154800                        12.488
    156600                        12.655
    158400                        12.822
    160200                        12.989
    162000                        13.156
    163800                        13.322
    165600                        13.489
    167400                        13.656
    169200                        13.823
    171000                        13.990
    172800                        14.157
    174600                        14.596
    176400                        15.035
    178200                        15.474
    180000                        15.913
    181800                        16.352
    183600                        16.792
    185400                        17.231
    187200                        17.670
    189000                        18.109
    190800                        18.548
    192600                        18.987
    194400                        19.426
    196200                        19.866
    198000                        20.305
    199800                        20.744
    201600                        21.183
    203400                        21.622
    205200                        22.061
    207000                        22.500
    208800                        22.939
    210600                        23.379
    212400                        23.818
    214200                        24.257
    216000                        24.696
    217800                        25.135
    219600                        25.574
    221400                        26.013
    223200                        26.452
    225000                        26.892
    226800                        27.331
    228600                        27.770
    230400                        28.209
    232200                        28.648
    234000                        29.087
    235800                        29.526
    237600                        29.966
    239400                        30.405
    241200                        30.844
    243000                        31.283
    244800                        31.722
    246600                        32.161
    248400                        32.600
    250200                        33.039
    252000                        33.479
    253800                        33.918
    255600                        34.357
    257400                        34.796
    259200                        35.235
    261000                        35.378
    262800                        35.521
    264600                        35.664
    266400                        35.806
    268200                        35.949
    270000                        36.092
    271800                        36.235
    273600                        36.378
    275400                        36.520
    277200                        36.663
    279000                        36.806
    280800                        36.949
    282600                        37.092
    284400                        37.234
    286200                        37.377
    288000                        37.520
    289800                        37.663
    291600                        37.806
    293400                        37.949
    295200                        38.091
    297000                        38.234
    298800                        38.377
    300600                        38.520
    302400                        38.663
    304200                        38.805
    306000                        38.948
    307800                        39.091
    309600                        39.234
    311400                        39.377
    313200                        39.520
    315000                        39.662
    316800                        39.805
    318600                        39.948
    320400                        40.091
    322200                        40.234
    324000                        40.376
    325800                        40.519
    327600                        40.662
    329400                        40.805
    331200                        40.948
    333000                        41.090
    334800                        41.233
    336600                        41.376
    338400                        41.519
    340200                        41.662
    342000                        41.805
    343800                        41.947
    345600                        42.090
    347400                        42.265
    349200                        42.440
    351000                        42.615
    352800                        42.791
    354600                        42.966
    356400                        43.141
    358200                        43.316
    360000                        43.491
    361800                        43.666
    363600                        43.841
    365400                        44.016
    367200                        44.191
    369000                        44.366
    370800                        44.542
    372600                        44.717
    374400                        44.892
    376200                        45.067
    378000                        45.242
    379800                        45.417
    381600                        45.592
    383400                        45.767
    385200                        45.942
    387000                        46.117
    388800                        46.293
    390600                        46.468
    392400                        46.643
    394200                        46.818
    396000                        46.993
    397800                        47.168
    399600                        47.343
    401400                        47.518
    403200                        47.693
    405000                        47.868
    406800                        48.044
    408600                        48.219
    410400                        48.394
    412200                        48.569
    414000                        48.744
    415800                        48.919
    417600                        49.094
    419400                        49.269
    421200                        49.444
    423000                        49.619
    424800                        49.795
    426600                        49.970
    428400                        50.145
    430200                        50.320
    432000                        50.495
    433800                        51.055
    435600                        51.615
    437400                        52.174
    439200                        52.734
    441000                        53.294
    442800                        53.854
    444600                        54.414
    446400                        54.973
    448200                        55.533
    450000                        56.093
    451800                        56.653
    453600                        57.213
    455400                        57.772
    457200                        58.332
    459000                        58.892
    460800                        59.452
    462600                        60.012
    464400                        60.571
    466200                        61.131
    468000                        61.691
    469800                        62.251
    471600                        62.811
    473400                        63.370
    475200                        63.930
    477000                        64.490
    478800                        65.050
    480600                        65.610
    482400                        66.169
    484200                        66.729
    486000                        67.289
    487800                        67.849
    489600                        68.408
    491400                        68.968
    493200                        69.528
    495000                        70.088
    496800                        70.648
    498600                        71.207
    500400                        71.767
    502200                        72.327
    504000                        72.887
    505800                        73.447
    507600                        74.006
