Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202507070010,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423,218.71423
202507070020,218.76003,218.76461,218.77903,218.79524,218.7646,218.76174,218.76183,218.76174,218.76173,218.76174,218.76462,218.76218,218.78721,218.76462,218.78303,218.79524
202507070030,218.80431,218.81825,218.86273,218.91371,218.81821,218.8095,218.81059,218.80951,218.80947,218.80951,218.81825,218.80894,218.88834,218.81824,218.86955,218.91371
202507070040,218.84637,218.87425,218.96443,219.0694,218.87416,218.85674,218.86105,218.85685,218.85669,218.85676,218.87427,218.8534,219.01698,218.87409,218.96806,219.06939
202507070050,218.88602,218.9321,219.08291,219.26074,218.93194,218.90312,218.91379,218.90369,218.90306,218.90331,218.93213,218.89533,219.17169,218.93136,219.07459,219.26065
202507070100,218.92331,218.9915,219.21702,219.48589,218.99124,218.94857,218.96905,218.95031,218.9485,218.94926,218.99149,218.93488,219.35096,218.98931,219.18658,219.48548
202507070110,218.9583,219.05221,219.36577,219.74299,219.05185,218.99301,219.02678,218.9971,218.99295,218.9949,219.05207,218.97242,219.55337,219.04726,219.30224,219.74173
202507070120,218.99103,219.11404,219.52831,220.03039,219.11356,219.03642,219.08676,219.04443,219.03636,219.04059,219.11355,219.00848,219.7777,219.10463,219.42033,220.02727
202507070130,219.02156,219.17686,219.70395,220.3466,219.17626,219.07875,219.14874,219.09266,219.0787,219.0867,219.17563,219.04365,220.02289,219.16091,219.53998,220.34013
202507070140,219.04994,219.24054,219.89213,220.69031,219.23982,219.11997,219.2125,219.14207,219.11993,219.1336,219.23799,219.07859,220.28812,219.21566,219.66059,220.67849
202507070150,219.07626,219.30498,220.09239,221.06038,219.30414,219.16003,219.27788,219.19291,219.16001,219.18164,219.30032,219.11393,220.57269,219.26856,219.78183,221.04073
202507070200,219.10062,219.37011,220.30435,221.45572,219.36916,219.1989,219.34477,219.2454,219.1989,219.23111,219.3623,219.15028,220.87598,219.31931,219.90353,221.4254
202507070210,219.12319,219.43583,220.52766,221.87526,219.43481,219.23654,219.41308,219.29974,219.23656,219.28226,219.42363,219.18817,221.19744,219.36769,220.02572,221.83119
202507070220,219.14421,219.50207,220.76195,222.31789,219.50102,219.27292,219.48275,219.35612,219.27294,219.33528,219.48402,219.22806,221.53651,219.41351,220.14851,222.25685
202507070230,219.16392,219.56875,221.00685,222.78243,219.56775,219.308,219.55375,219.41471,219.308,219.39032,219.5432,219.27032,221.89256,219.45663,220.2721,222.70117
202507070240,219.18265,219.63578,221.26195,223.26759,219.63495,219.34173,219.62605,219.47567,219.34168,219.44748,219.60092,219.31524,222.2649,219.49694,220.39675,223.16294
202507070250,219.20072,219.70306,221.52679,223.77197,219.70259,219.37407,219.69959,219.53917,219.37394,219.50681,219.65693,219.36302,222.65273,219.53433,220.52274,223.64096
202507070300,219.21849,219.77051,221.80088,224.29408,219.77063,219.405,219.77432,219.60535,219.40471,219.56833,219.71102,219.41378,223.05515,219.56875,220.65034,224.13396
202507070310,219.23631,219.83801,222.08366,224.83237,219.83906,219.43448,219.85019,219.67435,219.43395,219.63202,219.76299,219.46758,223.47116,219.60014,220.77979,224.64068
202507070320,219.25453,219.90548,222.37455,225.38523,219.90784,219.46246,219.92711,219.74628,219.46158,219.69784,219.81265,219.52442,223.89966,219.62848,220.91133,225.15984
202507070330,219.27349,219.97279,222.67293,225.9511,219.97697,219.48891,220.00498,219.82124,219.48754,219.76571,219.85985,219.58425,224.33952,219.65373,221.04512,225.69023
202507070340,219.29348,220.03985,222.97818,226.52845,220.04643,219.5138,220.08369,219.8993,219.51177,219.83553,219.90444,219.64697,224.78956,219.6759,221.18126,226.23068
202507070350,219.31476,220.10655,223.28966,227.11589,220.11622,219.53708,220.16312,219.98053,219.53419,219.9072,219.94627,219.71249,225.24862,219.69498,221.31984,226.78014
202507070400,219.33758,220.1728,223.60675,227.71215,220.18633,219.55871,220.24313,220.06493,219.55473,219.98061,219.98524,219.78068,225.71557,219.71098,221.46085,227.3377
202507070410,219.36212,220.2385,223.92886,228.31614,220.25676,219.57866,220.32358,220.15254,219.57332,220.05564,220.02124,219.85141,226.18934,219.72394,221.60425,227.90262
202507070420,219.38854,220.30356,224.25543,228.92696,220.32749,219.59687,220.40432,220.24333,219.58987,220.13216,220.05417,219.92458,226.66894,219.73386,221.74995,228.47435
202507070430,219.41694,220.36791,224.58591,229.54386,220.39852,219.6133,220.48521,220.33727,219.60431,220.21006,220.08395,220.00007,227.15348,219.74079,221.89782,229.05249
202507070440,219.44741,220.43147,224.91984,230.16628,220.46984,219.62791,220.56609,220.43432,219.61657,220.28924,220.1105,220.07782,227.64217,219.74476,222.04767,229.63684
202507070450,219.47997,220.49418,225.25675,230.79376,220.54144,219.64066,220.64682,220.53439,219.62655,220.36958,220.13376,220.15776,228.1343,219.74583,222.19931,230.22728
202507070500,219.51463,220.55598,225.59625,231.42593,220.61329,219.6515,220.72727,220.63741,219.63418,220.451,220.15366,220.23985,228.62926,219.74403,222.3525,230.82381
202507070510,219.55138,220.61682,225.93796,232.06242,220.68538,219.66039,220.8073,220.74327,219.63939,220.53342,220.17015,220.32407,229.1265,219.73941,222.50699,231.42642
202507070520,219.59016,220.67666,226.28153,232.70284,220.75767,219.6673,220.88678,220.85185,219.64211,220.61678,220.18319,220.41043,229.62548,219.73205,222.66252,232.0351
202507070530,219.6309,220.73544,226.62663,233.34667,220.83012,219.67219,220.9656,220.96301,219.64226,220.70101,220.19273,220.49894,230.12571,219.72199,222.81879,232.64968
202507070540,219.67352,220.79315,226.97292,233.99326,220.9027,219.67506,221.04365,221.0766,219.63979,220.78607,220.19875,220.58961,230.62664,219.70931,222.97552,233.26986
202507070550,219.71791,220.84973,227.32006,234.64177,220.97533,219.67587,221.12081,221.19245,219.63464,220.87193,220.20122,220.68245,231.12768,219.69406,223.1324,233.89511
202507070600,219.76396,220.90517,227.66771,235.29115,221.04798,219.67462,221.19697,221.31037,219.62676,220.95853,220.20012,220.77745,231.62819,219.67632,223.28913,234.52465
202507070610,219.81155,220.95942,228.01548,235.94013,221.12054,219.67131,221.27203,221.43015,219.61612,221.04587,220.19543,220.87459,232.12741,219.65617,223.4454,235.15743
202507070620,219.86054,221.01245,228.36294,236.58727,221.19296,219.66595,221.34589,221.55155,219.60269,221.13389,220.18715,220.97379,232.62451,219.63369,223.60092,235.79218
202507070630,219.91081,221.06422,228.70966,237.23095,221.26512,219.65855,221.41843,221.67433,219.58644,221.22258,220.17528,221.07496,233.11854,219.60894,223.75539,236.42738
202507070640,219.96222,221.11469,229.05515,237.86947,221.33692,219.64914,221.48956,221.79821,219.56736,221.3119,220.15982,221.17795,233.60851,219.58203,223.90851,237.06134
202507070650,220.01463,221.16382,229.39888,238.50104,221.40826,219.63775,221.55915,221.92289,219.54547,221.40179,220.1408,221.28257,234.09333,219.55304,224.05999,237.69226
202507070700,220.06792,221.21155,229.74031,239.12394,221.479,219.62442,221.62711,222.04806,219.52077,221.49221,220.11823,221.38858,234.57189,219.52207,224.20956,238.31832
202507070710,220.12195,221.25784,230.07885,239.73649,221.54902,219.6092,221.69332,222.17337,219.49327,221.58309,220.09214,221.49571,235.04308,219.48921,224.35696,238.93771
202507070720,220.17661,221.30261,230.41394,240.33715,221.61817,219.59214,221.75767,222.29848,219.46303,221.67435,220.06257,221.60364,235.5058,219.45457,224.50191,239.54869
202507070730,220.23177,221.34582,230.74498,240.92456,221.68631,219.57329,221.82006,222.42304,219.43007,221.76589,220.02955,221.71202,235.95904,219.41827,224.64418,240.1497
202507070740,220.28734,221.3874,231.07142,241.49756,221.75329,219.55272,221.88038,222.54667,219.39445,221.85762,219.99315,221.8205,236.40185,219.38042,224.78353,240.73936
202507070750,220.34321,221.42726,231.39272,242.05522,221.81897,219.53051,221.93854,222.66901,219.35624,221.9494,219.95341,221.92869,236.83343,219.34115,224.91975,241.31649
202507070800,220.39929,221.46535,231.70839,242.59684,221.88317,219.50671,221.99446,222.78969,219.31549,222.04112,219.9104,222.03625,237.25308,219.30059,225.05261,241.88015
202507070810,220.45551,221.50158,232.01798,243.12195,221.94576,219.48142,222.04806,222.90839,219.2723,222.13263,219.8642,222.1428,237.66028,219.25889,225.18194,242.42962
202507070820,220.5118,221.53588,232.32111,243.63029,222.00658,219.45471,222.09929,223.02475,219.22674,222.22377,219.81488,222.24802,238.05463,219.2162,225.30754,242.96443
202507070830,220.5681,221.56817,232.61747,244.12177,222.06548,219.42667,222.14812,223.1385,219.1789,222.31441,219.76253,222.35162,238.43592,219.17267,225.42926,243.48428
202507070840,220.62438,221.59837,232.90682,244.59651,222.12232,219.39737,222.19451,223.24934,219.12889,222.40438,219.70724,222.45334,238.80404,219.12847,225.54694,243.98907
202507070850,220.6806,221.62641,233.18899,245.05473,222.17696,219.36692,222.23848,223.35705,219.07681,222.49353,219.64913,222.55299,239.15907,219.08378,225.66044,244.47885
202507070900,220.73675,221.65221,233.4639,245.49679,222.22927,219.3354,222.28004,223.46141,219.02276,222.58171,219.58829,222.6504,239.50116,219.03879,225.76964,244.95381
202507070910,220.79282,221.67571,233.73154,245.92315,222.27913,219.30291,222.31922,223.56226,218.96685,222.66879,219.52485,222.74549,239.83062,218.99368,225.87443,245.41423
202507070920,220.84883,221.69683,233.99196,246.3343,222.32642,219.26954,222.3561,223.65949,218.90919,222.75464,219.45894,222.83822,240.14779,218.94866,225.97471,245.86048
202507070930,220.9048,221.71551,234.2453,246.73081,222.37104,219.2354,222.39073,223.753,218.84991,222.83914,219.39069,222.92859,240.45314,218.90395,226.0704,246.29299
202507070940,220.96077,221.7317,234.49173,247.11327,222.41289,219.20057,222.42322,223.84275,218.78912,222.9222,219.32025,223.01669,240.74715,218.85975,226.16142,246.71224
202507070950,221.01678,221.74532,234.73151,247.4823,222.45189,219.16516,222.45368,223.92874,218.72693,223.00374,219.24776,223.10262,241.03038,218.81629,226.24772,247.11873
202507071000,221.0729,221.75635,234.96493,247.8385,222.48795,219.12928,222.48223,224.01099,218.66346,223.0837,219.1734,223.18655,241.30338,218.7738,226.32925,247.51296
202507071010,221.12922,221.76472,235.19231,248.18248,222.52102,219.09302,222.509,224.08955,218.59884,223.16204,219.09732,223.26868,241.56673,218.73253,226.40597,247.89546
202507071020,221.18581,221.7704,235.41402,248.51485,222.55104,219.05648,222.53412,224.16453,218.53318,223.23873,219.0197,223.34924,241.82102,218.6927,226.47786,248.26675
202507071030,221.24278,221.77336,235.63046,248.83617,222.57795,219.01977,222.55776,224.23603,218.46659,223.31377,218.94074,223.42851,242.06681,218.65456,226.5449,248.62732
202507071040,221.30025,221.77356,235.84203,249.14701,222.60172,218.98298,222.58006,224.30418,218.39919,223.38718,218.86061,223.50678,242.30466,218.61836,226.60707,248.97768
202507071050,221.35833,221.77097,236.04917,249.4479,222.6223,218.94622,222.60118,224.36914,218.33109,223.45897,218.77952,223.58433,242.53511,218.58435,226.66438,249.31829
202507071100,221.41717,221.76558,236.2523,249.73935,222.63968,218.90959,222.62128,224.43108,218.26241,223.5292,218.69767,223.66151,242.75866,218.55277,226.71683,249.64962
202507071110,221.47691,221.75735,236.45187,250.02184,222.65383,218.87318,222.6405,224.49016,218.19324,223.59791,218.61528,223.73863,242.97579,218.52386,226.76443,249.97209
202507071120,221.5377,221.74629,236.64831,250.29582,222.66474,218.83708,222.659,224.54657,218.1237,223.66518,218.53255,223.81602,243.18695,218.49788,226.80719,250.28612
202507071130,221.59972,221.73237,236.84207,250.56172,222.67238,218.80139,222.67692,224.6005,218.05388,223.73108,218.4497,223.894,243.39255,218.47505,226.84513,250.59208
202507071140,221.66312,221.71558,237.03355,250.81991,222.67674,218.7662,222.69442,224.65214,217.98389,223.79568,218.36695,223.9729,243.59295,218.45561,226.87828,250.89033
202507071150,221.7281,221.69591,237.22317,251.07077,222.67782,218.73158,222.71162,224.70167,217.9138,223.85908,218.28452,224.05302,243.7885,218.43979,226.90664,251.1812
202507071200,221.79483,221.67336,237.41133,251.31461,222.6756,218.69762,222.72866,224.74927,217.84371,223.92135,218.20264,224.13466,243.97949,218.42779,226.93026,251.46499
202507071210,221.86351,221.6479,237.5984,251.55175,222.67008,218.6644,222.74566,224.79513,217.77371,223.9826,218.12152,224.21809,244.1662,218.41981,226.94913,251.74198
202507071220,221.93434,221.61954,237.78474,251.78244,222.66124,218.63197,222.76273,224.83941,217.70386,224.0429,218.04139,224.30358,244.34885,218.41606,226.9633,252.01238
202507071230,222.00753,221.58826,237.97068,252.00693,222.64906,218.60041,222.77997,224.88229,217.63424,224.10235,217.96245,224.39137,244.52765,218.41669,226.97278,252.27642
202507071240,222.08327,221.55404,238.15655,252.22541,222.63354,218.56976,222.7975,224.92392,217.5649,224.16102,217.8849,224.48166,244.70274,218.42188,226.97757,252.53427
202507071250,222.16178,221.51689,238.34261,252.43807,222.61466,218.54009,222.81538,224.96445,217.49592,224.21899,217.80896,224.57466,244.87426,218.43174,226.97771,252.78607
202507071300,222.24328,221.47677,238.52915,252.64505,222.59238,218.51142,222.83371,225.00402,217.42734,224.27635,217.7348,224.67053,245.04231,218.44642,226.97319,253.03193
202507071310,222.32798,221.43367,238.71638,252.84647,222.5667,218.48379,222.85257,225.04275,217.35919,224.33315,217.66262,224.7694,245.20695,218.466,226.96403,253.27192
202507071320,222.4161,221.38758,238.90453,253.04243,222.53757,218.45723,222.872,225.08077,217.29153,224.38947,217.59257,224.87138,245.36823,218.49056,226.95024,253.5061
202507071330,222.50785,221.33848,239.09376,253.23297,222.50496,218.43176,222.89208,225.11819,217.22438,224.44535,217.52482,224.97656,245.52615,218.52015,226.9318,253.73448
