Datetime,P00001,P00002,P00003,P00004,P00005,P00006,P00007,P00008,P00009,P00010,P00011,P00012,P00013,P00014,P00015,P00016
202507170000,1.983,1.698,1.068,0.544,0.155,1.756,2.039,0.558,0.638,1.453,0.638,1.26,1.26,0.217,0.769,1.999
202507170030,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170100,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170130,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170200,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170230,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170300,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170330,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170400,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170430,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170500,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170530,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170600,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170630,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170700,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170730,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170800,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170830,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170900,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507170930,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171000,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171030,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171100,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171130,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171200,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171230,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171300,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171330,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171400,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171430,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
202507171500,0.88,0.794,0.63,0.478,0.348,0.808,0.842,0.483,0.506,0.73,0.506,0.682,0.682,0.36,0.546,0.882
