Datetime,P00013
202508080000,0.235
202508080030,0.225
202508080100,0.225
202508080130,0.225
202508080200,0.225
202508080230,0.225
202508080300,0.225
202508080330,0.225
202508080400,0.225
202508080430,0.225
202508080500,0.225
202508080530,0.225
202508080600,0.225
202508080630,0.225
202508080700,0.225
202508080730,0.225
202508080800,0.225
202508080830,0.225
202508080900,0.225
202508080930,0.225
202508081000,0.225
202508081030,0.225
202508081100,0.225
202508081130,0.225
202508081200,0.225
202508081230,0.225
202508081300,0.225
202508081330,0.225
202508081400,0.225
202508081430,0.225
202508081500,0.225
202508081530,0.225
202508081600,0.225
202508081630,0.225
202508081700,0.225
202508081730,0.225
202508081800,0.225
202508081830,0.225
202508081900,0.225
202508081930,0.225
202508082000,0.225
202508082030,0.225
202508082100,0.225
202508082130,0.225
202508082200,0.225
202508082230,0.225
202508082300,0.225
202508082330,0.225
202508090000,0.225
202508090030,0.235
202508090100,0.235
202508090130,0.235
202508090200,0.235
202508090230,0.235
202508090300,0.235
202508090330,0.235
202508090400,0.235
202508090430,0.235
202508090500,0.235
202508090530,0.235
202508090600,0.235
202508090630,0.235
202508090700,0.235
202508090730,0.235
202508090800,0.235
202508090830,0.235
202508090900,0.235
202508090930,0.235
202508091000,0.235
202508091030,0.235
202508091100,0.235
202508091130,0.235
202508091200,0.235
202508091230,0.235
202508091300,0.235
202508091330,0.235
202508091400,0.235
202508091430,0.235
202508091500,0.235
202508091530,0.235
202508091600,0.235
202508091630,0.235
202508091700,0.235
202508091730,0.235
202508091800,0.235
202508091830,0.235
202508091900,0.235
202508091930,0.235
202508092000,0.235
202508092030,0.235
202508092100,0.235
202508092130,0.235
202508092200,0.235
202508092230,0.235
202508092300,0.235
202508092330,0.235
202508100000,0.235
202508100030,0.762
202508100100,0.762
202508100130,0.762
202508100200,0.762
202508100230,0.762
202508100300,0.762
202508100330,0.762
202508100400,0.762
202508100430,0.762
202508100500,0.762
202508100530,0.762
202508100600,0.762
202508100630,0.762
202508100700,0.762
202508100730,0.762
202508100800,0.762
202508100830,0.762
202508100900,0.762
202508100930,0.762
202508101000,0.762
202508101030,0.762
202508101100,0.762
202508101130,0.762
202508101200,0.762
202508101230,0.762
202508101300,0.762
202508101330,0.762
202508101400,0.762
202508101430,0.762
202508101500,0.762
202508101530,0.762
202508101600,0.762
202508101630,0.762
202508101700,0.762
202508101730,0.762
202508101800,0.762
202508101830,0.762
202508101900,0.762
202508101930,0.762
202508102000,0.762
202508102030,0.762
202508102100,0.762
202508102130,0.762
202508102200,0.762
202508102230,0.762
202508102300,0.762
202508102330,0.762
202508110000,0.762
202508110030,0.369
202508110100,0.369
202508110130,0.369
202508110200,0.369
202508110230,0.369
202508110300,0.369
202508110330,0.369
202508110400,0.369
202508110430,0.369
202508110500,0.369
202508110530,0.369
202508110600,0.369
202508110630,0.369
202508110700,0.369
202508110730,0.369
202508110800,0.369
202508110830,0.369
202508110900,0.369
202508110930,0.369
202508111000,0.369
202508111030,0.369
202508111100,0.369
202508111130,0.369
202508111200,0.369
202508111230,0.369
202508111300,0.369
202508111330,0.369
202508111400,0.369
202508111430,0.369
202508111500,0.369
202508111530,0.369
202508111600,0.369
202508111630,0.369
202508111700,0.369
202508111730,0.369
202508111800,0.369
202508111830,0.369
202508111900,0.369
202508111930,0.369
202508112000,0.369
202508112030,0.369
202508112100,0.369
202508112130,0.369
202508112200,0.369
202508112230,0.369
202508112300,0.369
202508112330,0.369
202508120000,0.369
202508120030,0.487
202508120100,0.487
202508120130,0.487
202508120200,0.487
202508120230,0.487
202508120300,0.487
202508120330,0.487
202508120400,0.487
202508120430,0.487
202508120500,0.487
202508120530,0.487
202508120600,0.487
202508120630,0.487
202508120700,0.487
202508120730,0.487
202508120800,0.487
202508120830,0.487
202508120900,0.487
202508120930,0.487
202508121000,0.487
202508121030,0.487
202508121100,0.487
202508121130,0.487
202508121200,0.487
202508121230,0.487
202508121300,0.487
202508121330,0.487
202508121400,0.487
202508121430,0.487
202508121500,0.487
202508121530,0.487
202508121600,0.487
202508121630,0.487
202508121700,0.487
202508121730,0.487
202508121800,0.487
202508121830,0.487
202508121900,0.487
202508121930,0.487
202508122000,0.487
202508122030,0.487
202508122100,0.487
202508122130,0.487
202508122200,0.487
202508122230,0.487
202508122300,0.487
202508122330,0.487
202508130000,0.487
202508130030,0.466
202508130100,0.466
202508130130,0.466
202508130200,0.466
202508130230,0.466
202508130300,0.466
202508130330,0.466
202508130400,0.466
202508130430,0.466
202508130500,0.466
202508130530,0.466
202508130600,0.466
202508130630,0.466
202508130700,0.466
202508130730,0.466
202508130800,0.466
202508130830,0.466
202508130900,0.466
202508130930,0.466
202508131000,0.466
202508131030,0.466
202508131100,0.466
202508131130,0.466
202508131200,0.466
202508131230,0.466
202508131300,0.466
202508131330,0.466
202508131400,0.466
202508131430,0.466
202508131500,0.466
202508131530,0.466
202508131600,0.466
202508131630,0.466
202508131700,0.466
202508131730,0.466
202508131800,0.466
202508131830,0.466
202508131900,0.466
202508131930,0.466
202508132000,0.466
202508132030,0.466
202508132100,0.466
202508132130,0.466
202508132200,0.466
202508132230,0.466
202508132300,0.466
202508132330,0.466
202508140000,0.466
202508140030,0.548
202508140100,0.548
202508140130,0.548
202508140200,0.548
202508140230,0.548
202508140300,0.548
202508140330,0.548
202508140400,0.548
202508140430,0.548
202508140500,0.548
202508140530,0.548
202508140600,0.548
202508140630,0.548
202508140700,0.548
202508140730,0.548
202508140800,0.548
202508140830,0.548
202508140900,0.548
202508140930,0.548
202508141000,0.548
202508141030,0.548
202508141100,0.548
202508141130,0.548
202508141200,0.548
202508141230,0.548
202508141300,0.548
202508141330,0.548
202508141400,0.548
202508141430,0.548
202508141500,0.548
202508141530,0.548
202508141600,0.548
202508141630,0.548
202508141700,0.548
202508141730,0.548
202508141800,0.548
202508141830,0.548
202508141900,0.548
202508141930,0.548
202508142000,0.548
202508142030,0.548
202508142100,0.548
202508142130,0.548
202508142200,0.548
202508142230,0.548
202508142300,0.548
202508142330,0.548
202508150000,0.548
202508150030,0.556
202508150100,0.556
202508150130,0.556
202508150200,0.556
202508150230,0.556
202508150300,0.556
202508150330,0.556
202508150400,0.556
202508150430,0.556
202508150500,0.556
202508150530,0.556
202508150600,0.556
202508150630,0.556
202508150700,0.556
202508150730,0.556
202508150800,0.556
202508150830,0.556
202508150900,0.556
202508150930,0.556
202508151000,0.556
202508151030,0.556
202508151100,0.556
202508151130,0.556
202508151200,0.556
202508151230,0.556
202508151300,0.556
202508151330,0.556
202508151400,0.556
202508151430,0.556
202508151500,0.556
202508151530,0.556
202508151600,0.556
202508151630,0.556
202508151700,0.556
202508151730,0.556
202508151800,0.556
202508151830,0.556
202508151900,0.556
202508151930,0.556
202508152000,0.556
202508152030,0.556
202508152100,0.556
202508152130,0.556
202508152200,0.556
202508152230,0.556
202508152300,0.556
202508152330,0.556
202508160000,0.556
202508160030,0.284
202508160100,0.284
202508160130,0.284
202508160200,0.284
202508160230,0.284
202508160300,0.284
202508160330,0.284
202508160400,0.284
202508160430,0.284
202508160500,0.284
202508160530,0.284
202508160600,0.284
202508160630,0.284
202508160700,0.284
202508160730,0.284
202508160800,0.284
202508160830,0.284
202508160900,0.284
202508160930,0.284
202508161000,0.284
202508161030,0.284
202508161100,0.284
202508161130,0.284
202508161200,0.284
202508161230,0.284
202508161300,0.284
202508161330,0.284
202508161400,0.284
202508161430,0.284
202508161500,0.284
202508161530,0.284
202508161600,0.284
202508161630,0.284
202508161700,0.284
202508161730,0.284
202508161800,0.284
202508161830,0.284
202508161900,0.284
202508161930,0.284
202508162000,0.284
202508162030,0.284
202508162100,0.284
202508162130,0.284
202508162200,0.284
202508162230,0.284
202508162300,0.284
202508162330,0.284
202508170000,0.284
202508170030,0.993
202508170100,0.993
202508170130,0.993
202508170200,0.993
202508170230,0.993
202508170300,0.993
202508170330,0.993
202508170400,0.993
202508170430,0.993
