Datetime,P00001
202508090010,181.83894
202508090020,181.974
202508090030,182.10551
202508090040,182.23361
202508090050,182.3583
202508090100,182.47962
202508090110,182.59758
202508090120,182.71224
202508090130,182.82363
202508090140,182.93177
202508090150,183.03667
202508090200,183.13829
202508090210,183.23661
202508090220,183.33158
202508090230,183.42316
202508090240,183.51129
202508090250,183.5959
202508090300,183.67696
202508090310,183.75439
202508090320,183.82816
202508090330,183.89823
202508090340,183.96456
202508090350,184.02712
202508090400,184.08592
202508090410,184.14093
202508090420,184.19218
202508090430,184.23966
202508090440,184.2834
202508090450,184.32344
202508090500,184.35982
202508090510,184.39258
202508090520,184.42177
202508090530,184.44746
202508090540,184.46972
202508090550,184.4886
202508090600,184.50419
202508090610,184.51656
202508090620,184.5258
202508090630,184.532
202508090640,184.53524
202508090650,184.53561
202508090700,184.53322
202508090710,184.52815
202508090720,184.52053
202508090730,184.51044
202508090740,184.49802
202508090750,184.48337
202508090800,184.46663
202508090810,184.44791
202508090820,184.42737
202508090830,184.40513
202508090840,184.38134
202508090850,184.35617
202508090900,184.32977
202508090910,184.30232
202508090920,184.27399
202508090930,184.24496
202508090940,184.21542
202508090950,184.18558
202508091000,184.15563
202508091010,184.12579
202508091020,184.09627
202508091030,184.06731
202508091040,184.03914
202508091050,184.01199
202508091100,183.98613
202508091110,183.96179
202508091120,183.93924
202508091130,183.91876
202508091140,183.90062
202508091150,183.88509
202508091200,183.87248
202508091210,183.86308
202508091220,183.8572
202508091230,183.85514
202508091240,183.85723
202508091250,183.86378
202508091300,183.87514
202508091310,183.89165
202508091320,183.91363
202508091330,183.94145
202508091340,183.97546
202508091350,184.01603
202508091400,184.0635
202508091410,184.11826
202508091420,184.18068
202508091430,184.25112
202508091440,184.32996
202508091450,184.41757
202508091500,184.51433
202508091510,184.62061
202508091520,184.73676
202508091530,184.86317
202508091540,185.00017
202508091550,185.14812
202508091600,185.30736
202508091610,185.47821
202508091620,185.66099
202508091630,185.856
202508091640,186.06353
202508091650,186.28386
202508091700,186.51723
202508091710,186.76387
202508091720,187.02402
202508091730,187.29785
202508091740,187.58554
202508091750,187.88725
202508091800,188.20309
202508091810,188.53317
202508091820,188.87757
202508091830,189.23635
202508091840,189.60952
202508091850,189.99711
202508091900,190.39908
202508091910,190.81539
202508091920,191.24598
202508091930,191.69076
202508091940,192.14961
202508091950,192.6224
202508092000,193.10898
202508092010,193.60916
202508092020,194.12277
202508092030,194.64958
202508092040,195.18937
202508092050,195.74189
202508092100,196.30688
202508092110,196.88407
202508092120,197.47317
202508092130,198.07389
202508092140,198.68592
202508092150,199.30893
202508092200,199.94261
202508092210,200.58661
202508092220,201.24059
202508092230,201.90422
202508092240,202.57712
202508092250,203.25895
202508092300,203.94935
202508092310,204.64795
202508092320,205.35439
202508092330,206.0683
202508092340,206.78933
202508092350,207.51709
202508100000,208.25123
202508100010,208.9914
202508100020,209.74029
202508100030,210.49784
202508100040,211.26385
202508100050,212.03814
202508100100,212.82061
202508100110,213.6114
202508100120,214.4109
202508100130,215.21973
202508100140,216.03866
202508100150,216.86854
202508100200,217.71021
202508100210,218.56441
202508100220,219.43181
202508100230,220.31291
202508100240,221.20808
202508100250,222.11756
202508100300,223.04145
202508100310,223.97974
202508100320,224.93232
202508100330,225.89901
202508100340,226.87954
202508100350,227.87364
202508100400,228.88097
202508100410,229.90119
202508100420,230.93394
202508100430,231.97887
202508100440,233.03563
202508100450,234.10386
202508100500,235.18321
202508100510,236.27335
202508100520,237.37392
202508100530,238.48458
202508100540,239.60495
202508100550,240.73468
202508100600,241.87337
202508100610,243.02061
202508100620,244.176
202508100630,245.33908
202508100640,246.50941
202508100650,247.68652
202508100700,248.86991
202508100710,250.05911
202508100720,251.25361
202508100730,252.45291
202508100740,253.65652
202508100750,254.86395
202508100800,256.07474
202508100810,257.28841
202508100820,258.50455
202508100830,259.72276
202508100840,260.94266
202508100850,262.16393
202508100900,263.38627
202508100910,264.60942
202508100920,265.83319
202508100930,267.0574
202508100940,268.28191
202508100950,269.50664
202508101000,270.73151
202508101010,271.95649
202508101020,273.18157
202508101030,274.40674
202508101040,275.63201
202508101050,276.8574
202508101100,278.08291
202508101110,279.30854
202508101120,280.53429
202508101130,281.76011
202508101140,282.98595
202508101150,284.21174
202508101200,285.43735
202508101210,286.66267
202508101220,287.88751
202508101230,289.11168
202508101240,290.33496
202508101250,291.55709
202508101300,292.77781
202508101310,293.99682
202508101320,295.2138
202508101330,296.42842
202508101340,297.64034
202508101350,298.84923
202508101400,300.05473
202508101410,301.25649
202508101420,302.45416
202508101430,303.64742
202508101440,304.83592
202508101450,306.01935
202508101500,307.19738
202508101510,308.3697
202508101520,309.53597
202508101530,310.69586
202508101540,311.84905
202508101550,312.99521
202508101600,314.13407
202508101610,315.26536
202508101620,316.38886
202508101630,317.50442
202508101640,318.6119
202508101650,319.71124
202508101700,320.80242
202508101710,321.88543
202508101720,322.96032
202508101730,324.02719
202508101740,325.08613
202508101750,326.13727
202508101800,327.18075
202508101810,328.21674
202508101820,329.24539
202508101830,330.26686
202508101840,331.28132
202508101850,332.28892
202508101900,333.28982
202508101910,334.28416
202508101920,335.27208
202508101930,336.2537
202508101940,337.22914
202508101950,338.1985
202508102000,339.1619
202508102010,340.11941
202508102020,341.07111
202508102030,342.01709
202508102040,342.9574
202508102050,343.89212
202508102100,344.82128
202508102110,345.74495
202508102120,346.66317
202508102130,347.57599
202508102140,348.48343
202508102150,349.38553
202508102200,350.28232
202508102210,351.17384
202508102220,352.06011
202508102230,352.94114
202508102240,353.81697
202508102250,354.6876
202508102300,355.55306
202508102310,356.41337
202508102320,357.26853
202508102330,358.11854
202508102340,358.96341
202508102350,359.80311
202508110000,360.63758
202508110010,361.46675
202508110020,362.30179
202508110030,363.14357
202508110040,363.99237
202508110050,364.84834
202508110100,365.71136
202508110110,366.58102
202508110120,367.45669
202508110130,368.33761
202508110140,369.22288
202508110150,370.11151
202508110200,371.0025
202508110210,371.89479
202508110220,372.78734
202508110230,373.67914
202508110240,374.56925
202508110250,375.45679
202508110300,376.34096
202508110310,377.22105
202508110320,378.09642
202508110330,378.96651
202508110340,379.83079
202508110350,380.68876
202508110400,381.53995
202508110410,382.3839
202508110420,383.22015
202508110430,384.04819
202508110440,384.86758
202508110450,385.67791
202508110500,386.4788
202508110510,387.26986
202508110520,388.05068
202508110530,388.82086
202508110540,389.58123
202508110550,390.33187
202508110600,391.07205
202508110610,391.80086
202508110620,392.51727
202508110630,393.22025
202508110640,393.90872
202508110650,394.58165
202508110700,395.23798
202508110710,395.87671
202508110720,396.49689
202508110730,397.09764
202508110740,397.67816
202508110750,398.23776
202508110800,398.77578
202508110810,399.29169
202508110820,399.78499
202508110830,400.25525
202508110840,400.70208
202508110850,401.12521
202508110900,401.52442
202508110910,401.8996
202508110920,402.25072
202508110930,402.57785
202508110940,402.8811
202508110950,403.16059
202508111000,403.41606
202508111010,403.64613
202508111020,403.84735
202508111030,404.01373
202508111040,404.13728
202508111050,404.20937
202508111100,404.2226
202508111110,404.17248
202508111120,404.05851
202508111130,403.88456
202508111140,403.65839
202508111150,403.39074
202508111200,403.09412
202508111210,402.7815
202508111220,402.46526
202508111230,402.15636
202508111240,401.86378
202508111250,401.59432
202508111300,401.35253
202508111310,401.1409
202508111320,400.96009
202508111330,400.80924
202508111340,400.68632
202508111350,400.58835
202508111400,400.51138
202508111410,400.45001
202508111420,400.39663
202508111430,400.34092
202508111440,400.27043
202508111450,400.17199
202508111500,400.03368
202508111510,399.84673
202508111520,399.60682
202508111530,399.31462
202508111540,398.97552
202508111550,398.59874
202508111600,398.19607
202508111610,397.7804
202508111620,397.36421
202508111630,396.95784
202508111640,396.56787
202508111650,396.19619
202508111700,395.84011
202508111710,395.49363
202508111720,395.14928
202508111730,394.80009
202508111740,394.44132
202508111750,394.07138
202508111800,393.69218
202508111810,393.30869
202508111820,392.92812
202508111830,392.55886
202508111840,392.20943
202508111850,391.88759
202508111900,391.59971
202508111910,391.35034
202508111920,391.14211
202508111930,390.9757
202508111940,390.8498
202508111950,390.7608
202508112000,390.70208
202508112010,390.6637
202508112020,390.63273
202508112030,390.59463
202508112040,390.53524
202508112050,390.44275
202508112100,390.30932
202508112110,390.13194
202508112120,389.91253
202508112130,389.65728
202508112140,389.37554
202508112150,389.07855
202508112200,388.77814
202508112210,388.48553
202508112220,388.21023
202508112230,387.95871
202508112240,387.73331
202508112250,387.53164
202508112300,387.34716
202508112310,387.17057
202508112320,386.99185
202508112330,386.80224
202508112340,386.59582
202508112350,386.37037
202508120000,386.12764
202508120010,385.87266
202508120020,385.61949
202508120030,385.3776
202508120040,385.15587
202508120050,384.96182
202508120100,384.80035
202508120110,384.67286
202508120120,384.57701
202508120130,384.50707
202508120140,384.45492
202508120150,384.41162
202508120200,384.36895
202508120210,384.32053
202508120220,384.26229
202508120230,384.19221
202508120240,384.10925
202508120250,384.01177
202508120300,383.89628
202508120310,383.75688
202508120320,383.58596
202508120330,383.37556
202508120340,383.11907
202508120350,382.81267
202508120400,382.45621
202508120410,382.05333
202508120420,381.61107
202508120430,381.13892
202508120440,380.6478
202508120450,380.14892
202508120500,379.6529
202508120510,379.16893
202508120520,378.7041
202508120530,378.26259
202508120540,377.84481
202508120550,377.44714
202508120600,377.06237
202508120610,376.68106
202508120620,376.29333
202508120630,375.89067
202508120640,375.46734
202508120650,375.02111
202508120700,374.55335
202508120710,374.06853
202508120720,373.57339
202508120730,373.07588
202508120740,372.58429
202508120750,372.10638
202508120800,371.6488
202508120810,371.21678
202508120820,370.81392
202508120830,370.4422
202508120840,370.10215
202508120850,369.79302
202508120900,369.51303
202508120910,369.25965
202508120920,369.02983
202508120930,368.82021
202508120940,368.62732
202508120950,368.44772
202508121000,368.27807
202508121010,368.11529
202508121020,367.95658
202508121030,367.79946
202508121040,367.64178
202508121050,367.48179
202508121100,367.31804
202508121110,367.14946
202508121120,366.97527
202508121130,366.79499
202508121140,366.60835
202508121150,366.41526
202508121200,366.21578
202508121210,366.01008
202508121220,365.79843
202508121230,365.58117
202508121240,365.35873
202508121250,365.13161
202508121300,364.90038
202508121310,364.66572
202508121320,364.42831
202508121330,364.18889
202508121340,363.94819
202508121350,363.70691
202508121400,363.46573
202508121410,363.22525
202508121420,362.98602
202508121430,362.74855
202508121440,362.51328
202508121450,362.28062
202508121500,362.05095
202508121510,361.82464
202508121520,361.60204
202508121530,361.38351
202508121540,361.16941
202508121550,360.96009
202508121600,360.7559
202508121610,360.55719
202508121620,360.36426
202508121630,360.17742
202508121640,359.99693
202508121650,359.82299
202508121700,359.65577
202508121710,359.49539
202508121720,359.34189
202508121730,359.19528
202508121740,359.05553
202508121750,358.92257
202508121800,358.7963
202508121810,358.67663
202508121820,358.56342
202508121830,358.45656
202508121840,358.35591
202508121850,358.26135
202508121900,358.17276
202508121910,358.09003
202508121920,358.01305
202508121930,357.94173
202508121940,357.87597
202508121950,357.81569
202508122000,357.76079
202508122010,357.71121
202508122020,357.66684
202508122030,357.6276
202508122040,357.59338
202508122050,357.56408
202508122100,357.53958
202508122110,357.51977
202508122120,357.50452
202508122130,357.49371
202508122140,357.48719
202508122150,357.48483
202508122200,357.48648
202508122210,357.49198
202508122220,357.50118
202508122230,357.51392
202508122240,357.53004
202508122250,357.54937
202508122300,357.57175
202508122310,357.59701
202508122320,357.62498
202508122330,357.6555
202508122340,357.68842
202508122350,357.72357
202508130000,357.76079
202508130010,357.79996
202508130020,357.84649
202508130030,357.90085
202508130040,357.96282
202508130050,358.03217
202508130100,358.10873
202508130110,358.19245
202508130120,358.28328
202508130130,358.38119
202508130140,358.4861
202508130150,358.59788
202508130200,358.71633
202508130210,358.84119
202508130220,358.97211
202508130230,359.10866
202508130240,359.25034
202508130250,359.39657
202508130300,359.54669
202508130310,359.69998
202508130320,359.8557
202508130330,360.0131
202508130340,360.17146
202508130350,360.33009
202508130400,360.4884
202508130410,360.64584
202508130420,360.802
202508130430,360.95653
202508130440,361.10918
202508130450,361.25979
202508130500,361.40825
202508130510,361.55451
202508130520,361.69857
202508130530,361.84046
202508130540,361.98022
202508130550,362.11788
202508130600,362.25351
202508130610,362.38714
202508130620,362.51883
202508130630,362.64859
202508130640,362.77646
202508130650,362.90245
202508130700,363.02658
202508130710,363.14886
202508130720,363.26929
202508130730,363.3879
202508130740,363.50468
202508130750,363.61967
202508130800,363.73287
202508130810,363.84432
202508130820,363.95405
202508130830,364.06211
202508130840,364.16856
202508130850,364.27344
202508130900,364.37684
202508130910,364.47882
202508130920,364.57946
202508130930,364.67881
202508130940,364.77697
202508130950,364.87398
202508131000,364.96991
202508131010,365.06482
202508131020,365.15872
202508131030,365.25166
202508131040,365.34363
202508131050,365.43465
202508131100,365.52471
202508131110,365.61382
202508131120,365.70197
202508131130,365.78916
202508131140,365.87534
202508131150,365.96046
202508131200,366.04444
202508131210,366.12716
202508131220,366.20849
202508131230,366.28828
202508131240,366.36635
202508131250,366.4425
202508131300,366.51656
202508131310,366.58832
202508131320,366.65761
202508131330,366.72425
202508131340,366.78811
202508131350,366.84904
202508131400,366.90695
202508131410,366.96173
202508131420,367.01333
202508131430,367.06169
202508131440,367.10677
202508131450,367.14856
202508131500,367.18704
202508131510,367.22223
202508131520,367.25415
202508131530,367.28282
202508131540,367.3083
202508131550,367.33063
202508131600,367.34988
202508131610,367.36613
202508131620,367.37945
202508131630,367.38994
202508131640,367.39771
202508131650,367.40285
202508131700,367.40549
202508131710,367.40574
202508131720,367.40374
202508131730,367.39963
202508131740,367.39354
202508131750,367.38562
202508131800,367.37602
202508131810,367.36489
202508131820,367.35239
202508131830,367.33868
202508131840,367.32392
202508131850,367.30827
202508131900,367.29189
202508131910,367.27496
202508131920,367.25762
202508131930,367.24005
202508131940,367.2224
202508131950,367.20484
202508132000,367.18751
202508132010,367.17058
202508132020,367.15421
202508132030,367.13852
202508132040,367.12369
202508132050,367.10983
202508132100,367.09711
202508132110,367.08564
202508132120,367.07557
202508132130,367.06701
202508132140,367.06011
202508132150,367.05496
202508132200,367.0517
202508132210,367.05044
202508132220,367.0513
202508132230,367.05439
202508132240,367.05983
202508132250,367.06776
202508132300,367.0783
202508132310,367.0916
202508132320,367.10777
202508132330,367.12691
202508132340,367.14912
202508132350,367.17444
202508140000,367.20291
202508140010,367.23453
202508140020,367.23538
202508140030,367.20252
202508140040,367.13692
202508140050,367.03999
202508140100,366.91335
202508140110,366.75904
202508140120,366.57943
202508140130,366.37709
202508140140,366.15468
202508140150,365.91483
202508140200,365.66
202508140210,365.39243
202508140220,365.1141
202508140230,364.82667
202508140240,364.53155
202508140250,364.2299
202508140300,363.9227
202508140310,363.61074
202508140320,363.29474
202508140330,362.97532
202508140340,362.65307
202508140350,362.32853
202508140400,362.00226
202508140410,361.67477
202508140420,361.34658
202508140430,361.01821
202508140440,360.69014
202508140450,360.36286
202508140500,360.03682
202508140510,359.71243
202508140520,359.3901
202508140530,359.07018
202508140540,358.75298
202508140550,358.43877
202508140600,358.12778
202508140610,357.8202
202508140620,357.51616
202508140630,357.21575
202508140640,356.91903
202508140650,356.626
202508140700,356.33663
202508140710,356.05084
202508140720,355.76853
202508140730,355.48955
202508140740,355.21372
202508140750,354.94086
202508140800,354.67072
202508140810,354.40308
202508140820,354.13767
202508140830,353.8742
202508140840,353.6124
202508140850,353.35197
202508140900,353.09261
202508140910,352.83401
202508140920,352.57588
202508140930,352.31792
202508140940,352.05984
202508140950,351.80134
202508141000,351.54216
202508141010,351.28203
202508141020,351.02069
202508141030,350.7579
