Datetime,P00008
202508190010,292.93083
202508190020,292.35513
202508190030,291.77567
202508190040,291.19147
202508190050,290.60256
202508190100,290.00901
202508190110,289.41087
202508190120,288.80819
202508190130,288.20102
202508190140,287.58946
202508190150,286.97364
202508190200,286.35371
202508190210,285.72985
202508190220,285.10225
202508190230,284.47112
202508190240,283.83669
202508190250,283.19919
202508190300,282.55883
202508190310,281.91585
202508190320,281.27046
202508190330,280.62286
202508190340,279.97322
202508190350,279.32174
202508190400,278.66859
202508190410,278.01392
202508190420,277.3579
202508190430,276.70064
202508190440,276.04227
202508190450,275.38292
202508190500,274.72271
202508190510,274.06174
202508190520,273.40012
202508190530,272.73796
202508190540,272.07534
202508190550,271.41236
202508190600,270.74909
202508190610,270.08563
202508190620,269.42204
202508190630,268.75842
202508190640,268.09482
202508190650,267.43133
202508190700,266.76802
202508190710,266.10495
202508190720,265.4422
202508190730,264.77982
202508190740,264.11789
202508190750,263.45646
202508190800,262.7956
202508190810,262.13538
202508190820,261.47584
202508190830,260.81705
202508190840,260.15905
202508190850,259.5019
202508190900,258.84563
202508190910,258.19028
202508190920,257.53588
202508190930,256.88245
202508190940,256.23002
202508190950,255.57859
202508191000,254.92819
202508191010,254.27881
202508191020,253.63046
202508191030,252.98313
202508191040,252.33682
202508191050,251.69153
202508191100,251.04724
202508191110,250.40395
202508191120,249.76166
202508191130,249.12036
202508191140,248.48005
202508191150,247.84071
202508191200,247.20235
202508191210,246.56497
202508191220,245.92854
202508191230,245.29308
202508191240,244.65858
202508191250,244.02503
202508191300,243.39244
202508191310,242.76081
202508191320,242.13015
202508191330,241.50046
202508191340,240.87175
202508191350,240.24405
202508191400,239.61736
202508191410,238.99171
202508191420,238.36713
202508191430,237.74364
202508191440,237.12125
202508191450,236.49997
202508191500,235.87981
202508191510,235.26078
202508191520,234.6429
202508191530,234.02616
202508191540,233.41059
202508191550,232.79617
202508191600,232.18293
202508191610,231.57086
202508191620,230.95998
202508191630,230.35031
202508191640,229.74185
202508191650,229.13462
202508191700,228.52864
202508191710,227.92393
202508191720,227.32051
202508191730,226.7184
202508191740,226.11761
202508191750,225.51818
202508191800,224.92014
202508191810,224.3235
202508191820,223.72828
202508191830,223.13453
202508191840,222.54226
202508191850,221.95151
202508191900,221.3623
202508191910,220.77467
202508191920,220.18863
202508191930,219.6042
202508191940,219.0214
202508191950,218.44025
202508192000,217.86076
202508192010,217.28296
202508192020,216.70688
202508192030,216.13252
202508192040,215.55992
202508192050,214.98909
202508192100,214.42006
202508192110,213.85283
202508192120,213.28743
202508192130,212.72388
202508192140,212.16219
202508192150,211.60239
202508192200,211.04448
202508192210,210.4885
202508192220,209.93445
202508192230,209.38237
202508192240,208.83225
202508192250,208.28413
202508192300,207.73802
202508192310,207.19392
202508192320,206.65186
202508192330,206.11185
202508192340,205.57389
202508192350,205.038
202508200000,204.50417
202508200010,203.97242
202508200020,203.44273
202508200030,202.91513
202508200040,202.38963
202508200050,201.86631
202508200100,201.34526
202508200110,200.82655
202508200120,200.31027
202508200130,199.79647
202508200140,199.28522
202508200150,198.77654
202508200200,198.27047
202508200210,197.76702
202508200220,197.26621
202508200230,196.76805
202508200240,196.27255
202508200250,195.77971
202508200300,195.28953
202508200310,194.80201
202508200320,194.31717
202508200330,193.83498
202508200340,193.35546
202508200350,192.87858
202508200400,192.40436
202508200410,191.93278
202508200420,191.46384
202508200430,190.99752
202508200440,190.53382
202508200450,190.07272
202508200500,189.61422
202508200510,189.15829
202508200520,188.70493
202508200530,188.25412
202508200540,187.80584
202508200550,187.36008
202508200600,186.91681
202508200610,186.47603
202508200620,186.0377
202508200630,185.60182
202508200640,185.16835
202508200650,184.73728
202508200700,184.30858
202508200710,183.88224
202508200720,183.45822
202508200730,183.03651
202508200740,182.61709
202508200750,182.19992
202508200800,181.785
202508200810,181.37228
202508200820,180.96175
202508200830,180.55339
202508200840,180.14717
202508200850,179.74306
202508200900,179.34106
202508200910,178.94112
202508200920,178.54323
202508200930,178.14737
202508200940,177.75351
202508200950,177.36163
202508201000,176.97171
202508201010,176.58373
202508201020,176.19768
202508201030,175.81352
202508201040,175.43124
202508201050,175.05082
202508201100,174.67224
202508201110,174.29549
202508201120,173.92055
202508201130,173.5474
202508201140,173.17602
202508201150,172.8064
202508201200,172.43852
202508201210,172.07238
202508201220,171.70795
202508201230,171.34522
202508201240,170.98417
202508201250,170.6248
202508201300,170.26709
202508201310,169.91103
202508201320,169.55661
202508201330,169.20381
202508201340,168.85262
202508201350,168.50303
202508201400,168.15503
202508201410,167.80861
202508201420,167.46376
202508201430,167.12045
202508201440,166.7787
202508201450,166.43847
202508201500,166.09977
202508201510,165.76257
202508201520,165.42688
202508201530,165.09267
202508201540,164.75993
202508201550,164.42866
202508201600,164.09883
202508201610,163.77045
202508201620,163.44349
202508201630,163.11795
202508201640,162.79381
202508201650,162.47105
202508201700,162.14968
202508201710,161.82966
202508201720,161.511
202508201730,161.19367
202508201740,160.87767
202508201750,160.56298
202508201800,160.24958
202508201810,159.93747
202508201820,159.62662
202508201830,159.31703
202508201840,159.00868
202508201850,158.70155
202508201900,158.39563
202508201910,158.09092
202508201920,157.78738
202508201930,157.48502
202508201940,157.18381
202508201950,156.88374
202508202000,156.5848
202508202010,156.28697
202508202020,155.99025
202508202030,155.6946
202508202040,155.40003
202508202050,155.10652
202508202100,154.81405
202508202110,154.52261
202508202120,154.2322
202508202130,153.94279
202508202140,153.65437
202508202150,153.36694
202508202200,153.08048
202508202210,152.79498
202508202220,152.51043
202508202230,152.22682
202508202240,151.94414
202508202250,151.66237
202508202300,151.38152
202508202310,151.10157
202508202320,150.8225
202508202330,150.54432
202508202340,150.26702
202508202350,149.99058
202508210000,149.71501
202508210010,149.44029
202508210020,149.16641
202508210030,148.89338
202508210040,148.62116
202508210050,148.34971
202508210100,148.07902
202508210110,147.80903
202508210120,147.53973
202508210130,147.27108
202508210140,147.00309
202508210150,146.73572
202508210200,146.46898
202508210210,146.20285
202508210220,145.93734
202508210230,145.67244
202508210240,145.40815
202508210250,145.14447
202508210300,144.8814
202508210310,144.61894
202508210320,144.3571
202508210330,144.09588
202508210340,143.83527
202508210350,143.57529
202508210400,143.31593
202508210410,143.05722
202508210420,142.79914
202508210430,142.5417
202508210440,142.28492
202508210450,142.0288
202508210500,141.77335
202508210510,141.51857
202508210520,141.26448
202508210530,141.01108
202508210540,140.75839
202508210550,140.50642
202508210600,140.25517
202508210610,140.00465
202508210620,139.75489
202508210630,139.50588
202508210640,139.25765
202508210650,139.0102
202508210700,138.76355
202508210710,138.5177
202508210720,138.27268
202508210730,138.02849
202508210740,137.78515
202508210750,137.54267
202508210800,137.30106
202508210810,137.06034
202508210820,136.82052
202508210830,136.58161
202508210840,136.34364
202508210850,136.1066
202508210900,135.87052
202508210910,135.63541
202508210920,135.40129
202508210930,135.16816
202508210940,134.93604
202508210950,134.70495
202508211000,134.4749
202508211010,134.24589
202508211020,134.01796
202508211030,133.7911
202508211040,133.56534
202508211050,133.34068
202508211100,133.11714
202508211110,132.89473
202508211120,132.67346
202508211130,132.45334
202508211140,132.23439
202508211150,132.01662
202508211200,131.80004
202508211210,131.58465
202508211220,131.37048
202508211230,131.15753
202508211240,130.94581
202508211250,130.73533
202508211300,130.5261
202508211310,130.31813
202508211320,130.11143
202508211330,129.90601
202508211340,129.70188
202508211350,129.49905
202508211400,129.29753
202508211410,129.09732
202508211420,128.89844
202508211430,128.70089
202508211440,128.50468
202508211450,128.30983
202508211500,128.11634
202508211510,127.92421
202508211520,127.73347
202508211530,127.54412
202508211540,127.35617
202508211550,127.16962
202508211600,126.98449
202508211610,126.8008
202508211620,126.61854
202508211630,126.43773
202508211640,126.25839
202508211650,126.08051
202508211700,125.90412
202508211710,125.72923
202508211720,125.55584
202508211730,125.38397
202508211740,125.21363
202508211750,125.04484
202508211800,124.8776
202508211810,124.71194
202508211820,124.54785
202508211830,124.38536
202508211840,124.22448
202508211850,124.06522
202508211900,123.9076
202508211910,123.75163
202508211920,123.59731
202508211930,123.44467
202508211940,123.29372
202508211950,123.14447
202508212000,122.99693
202508212010,122.85112
202508212020,122.70705
202508212030,122.56473
202508212040,122.42416
202508212050,122.28538
202508212100,122.14837
202508212110,122.01316
202508212120,121.87976
202508212130,121.74817
202508212140,121.6184
202508212150,121.49047
202508212200,121.36438
202508212210,121.24014
202508212220,121.11775
202508212230,120.99722
202508212240,120.87857
202508212250,120.76178
202508212300,120.64688
202508212310,120.53385
202508212320,120.42271
202508212330,120.31346
202508212340,120.2061
202508212350,120.10063
202508220000,119.99704
