datetime,OfflineCalcWL
5/15/2025 0:00,0.777
5/16/2025 0:00,0.666
5/17/2025 0:00,0.844
5/18/2025 0:00,0.614
5/19/2025 0:00,0.433
5/20/2025 0:00,0.344
5/21/2025 0:00,0.312
5/22/2025 0:00,0.275
5/23/2025 0:00,0.241
5/24/2025 0:00,0.357
5/25/2025 0:00,0.459
5/26/2025 0:00,0.622
5/27/2025 0:00,0.851
5/28/2025 0:00,0.728
5/29/2025 0:00,0.511
5/30/2025 0:00,0.363
5/31/2025 0:00,0.24
6/1/2025 0:00,0.137
6/2/2025 0:00,0.058
6/3/2025 0:00,0.031
6/4/2025 0:00,0.022
6/5/2025 0:00,0.052
6/6/2025 0:00,0.046
6/7/2025 0:00,0.107
6/8/2025 0:00,0.171
6/9/2025 0:00,0.229
6/10/2025 0:00,0.28
6/11/2025 0:00,0.32
6/12/2025 0:00,0.261
6/13/2025 0:00,0.17
6/14/2025 0:00,0.023
6/15/2025 0:00,0.539
6/16/2025 0:00,0.417
6/17/2025 0:00,0.205
6/18/2025 0:00,0.046
6/19/2025 0:00,0.065
6/20/2025 0:00,0.15
6/21/2025 0:00,0.213
6/22/2025 0:00,0.248
6/23/2025 0:00,0.115
6/24/2025 0:00,0.14
6/25/2025 0:00,0.74
6/26/2025 0:00,0.731
6/27/2025 0:00,0.458
6/28/2025 0:00,0.461
6/29/2025 0:00,0.865
6/30/2025 0:00,1.092
7/1/2025 0:00,0.823
7/2/2025 0:00,0.543
7/3/2025 0:00,0.419
7/4/2025 0:00,0.59
7/5/2025 0:00,1.127
7/6/2025 0:00,1.458
7/7/2025 0:00,1.029
7/8/2025 0:00,0.798
7/9/2025 0:00,0.746
7/10/2025 0:00,0.781
7/11/2025 0:00,1.196
7/12/2025 0:00,1.759
7/13/2025 0:00,2.365
7/14/2025 0:00,2.176
7/15/2025 0:00,1.798
7/16/2025 0:00,1.991
7/17/2025 0:00,3.096
7/18/2025 0:00,3.065
7/19/2025 0:00,2.454
7/20/2025 0:00,1.772
7/21/2025 0:00,1.611
7/22/2025 0:00,2.023
7/23/2025 0:00,4.24
7/24/2025 0:00,9.808
7/25/2025 0:00,7.223
7/26/2025 0:00,4.4
7/27/2025 0:00,3.294
7/28/2025 0:00,4.405
7/29/2025 0:00,6.759
7/30/2025 0:00,5.671
7/31/2025 0:00,4.391
8/1/2025 0:00,3.016
8/2/2025 0:00,2.739
8/3/2025 0:00,2.367
8/4/2025 0:00,2.01
8/5/2025 0:00,1.603
8/6/2025 0:00,1.2
8/7/2025 0:00,1.215
8/8/2025 0:00,1.462
8/9/2025 0:00,1.355
8/10/2025 0:00,1.208
8/11/2025 0:00,1.437
8/12/2025 0:00,1.907
8/13/2025 0:00,1.887
8/14/2025 0:00,1.675
8/15/2025 0:00,2.153
8/16/2025 0:00,2.424
8/17/2025 0:00,2.229
8/18/2025 0:00,1.868
8/19/2025 0:00,1.506
8/20/2025 0:00,1.066
8/21/2025 0:00,0.733
8/22/2025 0:00,0.588
8/23/2025 0:00,0.742
8/24/2025 0:00,1.357
8/25/2025 0:00,1.743
8/26/2025 0:00,1.94
8/27/2025 0:00,2.951
8/28/2025 0:00,5.526
8/29/2025 0:00,3.911
8/30/2025 0:00,2.466
