datetime,OfflineCalcWL
5/15/2025 0:00,66.657
5/16/2025 0:00,70.456
5/17/2025 0:00,77.584
5/18/2025 0:00,81.832
5/19/2025 0:00,62.65
5/20/2025 0:00,48.902
5/21/2025 0:00,42.539
5/22/2025 0:00,40.368
5/23/2025 0:00,37.874
5/24/2025 0:00,35.617
5/25/2025 0:00,43.48
5/26/2025 0:00,50.794
5/27/2025 0:00,63.323
5/28/2025 0:00,82.481
5/29/2025 0:00,71.918
5/30/2025 0:00,54.692
5/31/2025 0:00,43.895
6/1/2025 0:00,35.522
6/2/2025 0:00,29.002
6/3/2025 0:00,24.361
6/4/2025 0:00,22.821
6/5/2025 0:00,19.948
6/6/2025 0:00,18.379
6/7/2025 0:00,18.688
6/8/2025 0:00,15.558
6/9/2025 0:00,12.551
6/10/2025 0:00,9.987
6/11/2025 0:00,7.919
6/12/2025 0:00,6.434
6/13/2025 0:00,8.673
6/14/2025 0:00,12.581
6/15/2025 0:00,22.369
6/16/2025 0:00,56.794
6/17/2025 0:00,47.749
6/18/2025 0:00,33.314
6/19/2025 0:00,23.696
6/20/2025 0:00,17.673
6/21/2025 0:00,13.531
6/22/2025 0:00,10.668
6/23/2025 0:00,9.199
6/24/2025 0:00,15.162
6/25/2025 0:00,29.21
6/26/2025 0:00,72.989
6/27/2025 0:00,72.235
6/28/2025 0:00,50.693
6/29/2025 0:00,50.943
6/30/2025 0:00,83.644
7/1/2025 0:00,104.42
7/2/2025 0:00,80.01
7/3/2025 0:00,57.145
7/4/2025 0:00,47.855
7/5/2025 0:00,60.786
7/6/2025 0:00,107.735
7/7/2025 0:00,140.93
7/8/2025 0:00,98.464
7/9/2025 0:00,77.857
7/10/2025 0:00,73.439
7/11/2025 0:00,76.411
7/12/2025 0:00,114.445
7/13/2025 0:00,173.79
7/14/2025 0:00,246.77
7/15/2025 0:00,223.058
7/16/2025 0:00,178.199
7/17/2025 0:00,200.642
7/18/2025 0:00,345.745
7/19/2025 0:00,341.358
7/20/2025 0:00,258.128
7/21/2025 0:00,175.302
7/22/2025 0:00,157.347
7/23/2025 0:00,204.504
7/24/2025 0:00,522.254
7/25/2025 0:00,1684.776
7/26/2025 0:00,1088.513
7/27/2025 0:00,549.03
7/28/2025 0:00,374.522
7/29/2025 0:00,549.825
7/30/2025 0:00,991.509
7/31/2025 0:00,776.189
8/1/2025 0:00,547.43
8/2/2025 0:00,334.309
8/3/2025 0:00,295.867
8/4/2025 0:00,246.986
8/5/2025 0:00,202.892
8/6/2025 0:00,156.513
8/7/2025 0:00,114.778
8/8/2025 0:00,116.215
8/9/2025 0:00,141.365
8/10/2025 0:00,130.331
8/11/2025 0:00,115.559
8/12/2025 0:00,138.769
8/13/2025 0:00,190.763
8/14/2025 0:00,188.421
8/15/2025 0:00,164.401
8/16/2025 0:00,220.257
8/17/2025 0:00,254.298
8/18/2025 0:00,229.539
8/19/2025 0:00,186.276
8/20/2025 0:00,146.097
8/21/2025 0:00,101.894
8/22/2025 0:00,72.379
8/23/2025 0:00,60.616
8/24/2025 0:00,73.115
8/25/2025 0:00,130.494
8/26/2025 0:00,171.967
8/27/2025 0:00,194.597
8/28/2025 0:00,325.204
8/29/2025 0:00,748.971
8/30/2025 0:00,468.926
