  location                           N.1
         i                           127
         j                           328
  Num_Cell                          5729
         0                         0.442
      1800                         0.256
      3600                         0.256
      5400                         0.256
      7200                         0.256
      9000                         0.256
     10800                         0.256
     12600                         0.256
     14400                         0.256
     16200                         0.256
     18000                         0.256
     19800                         0.256
     21600                         0.256
     23400                         0.256
     25200                         0.256
     27000                         0.256
     28800                         0.256
     30600                         0.256
     32400                         0.256
     34200                         0.256
     36000                         0.256
     37800                         0.256
     39600                         0.256
     41400                         0.256
     43200                         0.256
     45000                         0.256
     46800                         0.256
     48600                         0.256
     50400                         0.256
     52200                         0.256
     54000                         0.256
     55800                         0.256
     57600                         0.256
     59400                         0.256
     61200                         0.256
     63000                         0.256
     64800                         0.256
     66600                         0.256
     68400                         0.256
     70200                         0.256
     72000                         0.256
     73800                         0.256
     75600                         0.256
     77400                         0.256
     79200                         0.256
     81000                         0.256
     82800                         0.256
     84600                         0.256
     86400                         0.256
     88200                         0.334
     90000                         0.334
     91800                         0.334
     93600                         0.334
     95400                         0.334
     97200                         0.334
     99000                         0.334
    100800                         0.334
    102600                         0.334
    104400                         0.334
    106200                         0.334
    108000                         0.334
    109800                         0.334
    111600                         0.334
    113400                         0.334
    115200                         0.334
    117000                         0.334
    118800                         0.334
    120600                         0.334
    122400                         0.334
    124200                         0.334
    126000                         0.334
    127800                         0.334
    129600                         0.334
    131400                         0.334
    133200                         0.334
    135000                         0.334
    136800                         0.334
    138600                         0.334
    140400                         0.334
    142200                         0.334
    144000                         0.334
    145800                         0.334
    147600                         0.334
    149400                         0.334
    151200                         0.334
    153000                         0.334
    154800                         0.334
    156600                         0.334
    158400                         0.334
    160200                         0.334
    162000                         0.334
    163800                         0.334
    165600                         0.334
    167400                         0.334
    169200                         0.334
    171000                         0.334
    172800                         0.334
    174600                         0.878
    176400                         0.878
    178200                         0.878
    180000                         0.878
    181800                         0.878
    183600                         0.878
    185400                         0.878
    187200                         0.878
    189000                         0.878
    190800                         0.878
    192600                         0.878
    194400                         0.878
    196200                         0.878
    198000                         0.878
    199800                         0.878
    201600                         0.878
    203400                         0.878
    205200                         0.878
    207000                         0.878
    208800                         0.878
    210600                         0.878
    212400                         0.878
    214200                         0.878
    216000                         0.878
    217800                         0.878
    219600                         0.878
    221400                         0.878
    223200                         0.878
    225000                         0.878
    226800                         0.878
    228600                         0.878
    230400                         0.878
    232200                         0.878
    234000                         0.878
    235800                         0.878
    237600                         0.878
    239400                         0.878
    241200                         0.878
    243000                         0.878
    244800                         0.878
    246600                         0.878
    248400                         0.878
    250200                         0.878
    252000                         0.878
    253800                         0.878
    255600                         0.878
    257400                         0.878
    259200                         0.878
    261000                         0.286
    262800                         0.286
    264600                         0.286
    266400                         0.286
    268200                         0.286
    270000                         0.286
    271800                         0.286
    273600                         0.286
    275400                         0.286
    277200                         0.286
    279000                         0.286
    280800                         0.286
    282600                         0.286
    284400                         0.286
    286200                         0.286
    288000                         0.286
    289800                         0.286
    291600                         0.286
    293400                         0.286
    295200                         0.286
    297000                         0.286
    298800                         0.286
    300600                         0.286
    302400                         0.286
    304200                         0.286
    306000                         0.286
    307800                         0.286
    309600                         0.286
    311400                         0.286
    313200                         0.286
    315000                         0.286
    316800                         0.286
    318600                         0.286
    320400                         0.286
    322200                         0.286
    324000                         0.286
    325800                         0.286
    327600                         0.286
    329400                         0.286
    331200                         0.286
    333000                         0.286
    334800                         0.286
    336600                         0.286
    338400                         0.286
    340200                         0.286
    342000                         0.286
    343800                         0.286
    345600                         0.286
    347400                         0.350
    349200                         0.350
    351000                         0.350
    352800                         0.350
    354600                         0.350
    356400                         0.350
    358200                         0.350
    360000                         0.350
    361800                         0.350
    363600                         0.350
    365400                         0.350
    367200                         0.350
    369000                         0.350
    370800                         0.350
    372600                         0.350
    374400                         0.350
    376200                         0.350
    378000                         0.350
    379800                         0.350
    381600                         0.350
    383400                         0.350
    385200                         0.350
    387000                         0.350
    388800                         0.350
    390600                         0.350
    392400                         0.350
    394200                         0.350
    396000                         0.350
    397800                         0.350
    399600                         0.350
    401400                         0.350
    403200                         0.350
    405000                         0.350
    406800                         0.350
    408600                         0.350
    410400                         0.350
    412200                         0.350
    414000                         0.350
    415800                         0.350
    417600                         0.350
    419400                         0.350
    421200                         0.350
    423000                         0.350
    424800                         0.350
    426600                         0.350
    428400                         0.350
    430200                         0.350
    432000                         0.350
    433800                         1.120
    435600                         1.120
    437400                         1.120
    439200                         1.120
    441000                         1.120
    442800                         1.120
    444600                         1.120
    446400                         1.120
    448200                         1.120
    450000                         1.120
    451800                         1.120
    453600                         1.120
    455400                         1.120
    457200                         1.120
    459000                         1.120
    460800                         1.120
    462600                         1.120
    464400                         1.120
    466200                         1.120
    468000                         1.120
    469800                         1.120
    471600                         1.120
    473400                         1.120
    475200                         1.120
    477000                         1.120
    478800                         1.120
    480600                         1.120
    482400                         1.120
    484200                         1.120
    486000                         1.120
    487800                         1.120
    489600                         1.120
    491400                         1.120
    493200                         1.120
    495000                         1.120
    496800                         1.120
    498600                         1.120
    500400                         1.120
    502200                         1.120
    504000                         1.120
    505800                         1.120
    507600                         1.120
